date,reserve_stress,lending_stress,lending_to_reserve_stress,rate_stress,reserve_drawdown_stress,lending_surge_stress,warning_index,warning_score,reserve_pct_change_4w,reserve_pct_change_8w,crisis_lending_pct_change_4w,crisis_lending_pct_change_8w,reserve_ratio_pct_change_4w,reserve_ratio_pct_change_8w,lending_to_reserve_pct_change_4w,lending_to_reserve_pct_change_8w,bank_rate_change_4w,bank_rate_change_8w,reserve_ratio_gap_52w,crisis_lending_gap_52w,lending_to_reserve_gap_52w
1869-05-26,0.6508469566732031,0.2202783928844977,-0.12071945808692769,0.2478902179268636,-0.13704397814500635,-0.262072471134994,0.09986327668627275,51.6380655226209,0.09969551606045557,0.04156693445671711,0.16270022883295177,-0.262072471134994,0.038047408782170944,0.13704397814500635,0.057292870483098834,-0.29152174051117485,0.5,1.5,-0.03717953812948849,1.0400769230769207,0.20465637452558083
1869-06-02,0.6535922755283836,0.14830233529207174,-0.1364208999845298,0.24778836505321877,-0.1456068121197862,-0.12965249603104612,0.106333794623052,51.909586905689785,0.22701144760240233,0.1266990058871118,-0.002829426030719673,-0.12965249603104612,0.11449224226520549,0.1456068121197862,-0.18731762778760908,-0.22752438812734932,0.5,0.5,-0.03632922017007534,0.7417115384615371,0.17164033003689472
1869-06-09,0.2894769355411759,-0.025915114727339088,-0.25947961991282753,0.24768663763108295,-0.22572804997196871,-0.024816274363616886,0.00020408569941776644,44.93769470404985,0.35815547436185824,0.3187562440890104,-0.22459349593495925,-0.024816274363616886,0.30334953845967316,0.22572804997196871,-0.42907382939396355,-0.2605276903844844,0.0,0.5,0.01100233540609874,0.027423076923078327,-0.046848305025272374
1869-06-16,0.10465395479532681,-0.0929528235763993,-0.306488640186377,-0.031028933940861435,-0.2683295221445745,-0.025241439859525983,-0.10323123415206857,37.82101167315175,0.3664278113308439,0.3793646029212123,-0.1937914132704004,-0.025241439859525983,0.27432141578220826,0.2683295221445745,-0.40998816033729146,-0.2933278423441237,-0.5,0.0,0.03525979896294312,-0.2429423076923083,-0.13142792104543022
1869-06-23,-0.02384279470681433,-0.21017275644246902,-0.342295766799031,-0.031016939810194512,-0.2584739360803894,-0.038558352402745966,-0.1507267577069407,34.914463452566096,0.27657167345189615,0.40384014522484235,-0.1730958472741585,-0.038558352402745966,0.2123472641358657,0.2584739360803894,-0.3522461997845663,-0.3151345252038883,-0.5,0.0,0.05221348243317714,-0.7194615384615375,-0.1959151433752112
1869-06-30,0.6003724706370489,1.8119197239845142,0.09673668455775405,-0.3098342835573024,-0.13321674981503473,0.6835084882780917,0.45824772234751193,68.91996891996892,0.2249446510818396,0.5030211095567476,0.6882853668423186,0.6835084882780917,0.016800931257961782,0.13321674981503473,0.3782544095778273,0.12008306308789707,-1.0,-0.5,-0.02615107570963815,7.547461538461535,0.5603088989127479
1869-07-07,0.47888309788247446,0.369054053232781,-0.17365896316425258,-0.30970333917809884,-0.2334425628974235,-0.0874830623306233,0.007274870590809547,45.2639751552795,0.002397946386479388,0.36141225837388147,0.1768239405854084,-0.0874830623306233,-0.053636398755215975,0.2334425628974235,0.17400873059218958,-0.32972769118494727,-1.0,-1.0,-0.009924251821246066,1.5984999999999996,0.08531351321901048
1869-07-14,0.22773011634249613,-0.35385522382781437,-0.3335296998205268,-0.30957256069417627,-0.23194507437267053,-0.2900063538168287,-0.21519646603158674,29.79053529868115,-0.06206702629297678,0.28161770043751777,-0.11934249043008338,-0.2900063538168287,-0.03325404476823157,0.23194507437267053,-0.06106562594844589,-0.4460176026432888,-0.5,-1.0,0.022603820335779623,-1.3716538461538477,-0.19497260857217003
1869-07-21,0.09354297134725535,-0.4442900993697339,-0.3713243491042569,-0.5885633155016259,-0.1750988378968079,-0.2666797874434166,-0.2920689029947643,24.651162790697676,-0.04518476742936939,0.21889007928005144,-0.11317386647625849,-0.2666797874434166,-0.030724221797628015,0.1750988378968079,-0.07120655046929181,-0.39837051345128216,-1.0,-1.5,0.04010152965602254,-1.7344807692307693,-0.26145487794613986
1869-07-28,-0.07346371129342609,-0.4737193674074884,-0.38992279343871145,-0.5882584104873614,-0.22880688956025907,-0.2570936359951357,-0.3352108013637303,23.082881487219208,0.03390921637971456,0.26648156430854786,-0.5599639855942377,-0.2570936359951357,0.20850291515764918,0.22880688956025907,-0.5743958875358799,-0.4134092552618689,-0.5,-1.5,0.06171167470925093,-1.8570192307692324,-0.2951332352620192
1869-08-04,-0.24204993227727953,-0.5303321570286795,-0.3844164918833899,-0.587953978943114,-0.1498830393209818,-0.22466142420270885,-0.3532161706093589,22.36842105263158,0.03893689337086892,0.04142820834010785,-0.34116009280742476,-0.22466142420270885,0.21505416925217946,0.1498830393209818,-0.36585185164139766,-0.2555045373381297,-0.5,-1.5,0.08325783966577821,-2.0928076923076944,-0.2870597755488219
1869-08-11,-0.486540488047225,-0.6077518410317624,-0.4203014845149318,-0.5876500196446106,-0.15835796308932082,-0.23643323575771225,-0.4161725053475938,19.644238205723124,0.09639331543037422,0.028343442694113152,-0.1329583226796215,-0.23643323575771225,0.19820306133229715,0.15835796308932082,-0.2091873736205394,-0.2574788416583357,-0.5,-1.0,0.11335867963605539,-2.3878653846153846,-0.34744230377648067
1869-08-18,-0.6121973817582934,-0.6905243245819359,-0.4460274109342099,-0.5873465313720041,-0.15231680029694483,-0.2332500297512794,-0.45361041311577804,17.928902627511594,0.07851319138762713,0.02978082366527035,-0.1353998926462695,-0.2332500297512794,0.1888430787304336,0.15231680029694483,-0.1983407210427104,-0.2554241129489587,0.0,-1.0,0.12805829077591246,-2.703038461538462,-0.38934699018643826
1869-08-25,-0.667285037271282,-0.6879267173671808,-0.45721605003828947,-0.8665165481022364,-0.392402163404181,-0.6127250900360144,-0.614011934369864,5.714285714285714,0.08413744802238332,0.12089969933272582,-0.11990178693220566,-0.6127250900360144,0.15217112506720132,0.392402163404181,-0.18820421278389077,-0.654496374479776,-0.5,-1.0,0.13384907537040136,-2.6641538461538463,-0.4056790042803333
1869-09-01,-0.5593695274636815,-0.639477495578122,-0.438641813167942,-0.8659350253844146,-0.3099688307834121,-0.383016241299304,-0.5327348222794793,12.885802469135802,0.10171510577960152,0.14461246937841765,-0.06353007465840244,-0.383016241299304,0.07811558030342725,0.3099688307834121,-0.14998903035015776,-0.46096711751205244,-0.5,-1.0,0.11932231843793939,-2.4600192307692303,-0.37260394849036627
