counterparty,actor_category,crises,n_crises,n_transactions,total_amount,early_access,top_quartile_scale,intermediary_role,centrality_norm,recurrence_norm,cross_crisis_norm,information_channel_score
"Bennoch, Twentyman & Rigg",unknown,1857,1,4,13591.4,1,1,0,0.0013,0.0151,0.0,0.3525
Sanderman F & Co,unknown,1847,1,4,12808.3,1,1,0,0.0012,0.0151,0.0,0.3525
J. Gaury & Co,unknown,1866,1,4,12817.9,1,1,0,0.0012,0.0151,0.0,0.3525
Vagliano Brothers,unknown,1866,1,4,14575.0,1,1,0,0.0014,0.0151,0.0,0.3525
E. C. M Da Costa,unknown,1866,1,4,14185.9,1,1,0,0.0014,0.0151,0.0,0.3525
Harryman & White,unknown,1857,1,4,14193.2,1,1,0,0.0014,0.0151,0.0,0.3525
John Tellham & Co,unknown,1857,1,4,11139.1,1,1,0,0.0011,0.0151,0.0,0.3525
Sieveking Droop & Co,unknown,1866,1,4,14112.5,1,1,0,0.0014,0.0151,0.0,0.3525
Hoge & Williamson,unknown,1857,1,3,43469.4,1,1,0,0.0042,0.0113,0.0,0.3525
R Farrand,unknown,1847,1,4,11886.1,1,1,0,0.0011,0.0151,0.0,0.3525
Spicer Bros,unknown,1847,1,4,10447.7,1,1,0,0.001,0.0151,0.0,0.3525
H Cayley & Co,unknown,1847,1,4,5615.0,1,1,0,0.0005,0.0151,0.0,0.3524
J C White,unknown,1847,1,4,5467.2,1,1,0,0.0005,0.0151,0.0,0.3524
David Taylor & Sons,unknown,1866,1,4,8614.2,1,1,0,0.0008,0.0151,0.0,0.3524
J G Tyrie,unknown,1847,1,4,9766.6,1,1,0,0.0009,0.0151,0.0,0.3524
Jas Stuart & Sons,unknown,1847,1,4,6387.2,1,1,0,0.0006,0.0151,0.0,0.3524
Sam & Sadler & Co,unknown,1847,1,4,6856.2,1,1,0,0.0007,0.0151,0.0,0.3524
Jas Duke,unknown,1847,1,4,8567.3,1,1,0,0.0008,0.0151,0.0,0.3524
Jon Hopkinson,unknown,1847,1,4,4862.4,1,1,0,0.0005,0.0151,0.0,0.3524
J Maurenbrecker Co,unknown,1847,1,4,8957.6,1,1,0,0.0009,0.0151,0.0,0.3524
Fincham M & Co,unknown,1847,1,4,5379.6,1,1,0,0.0005,0.0151,0.0,0.3524
Gabain & Co,unknown,1847,1,4,6748.1,1,1,0,0.0007,0.0151,0.0,0.3524
J R & N Browning & Co,unknown,1847,1,4,7368.5,1,1,0,0.0007,0.0151,0.0,0.3524
G & I. A. Noble,unknown,1866,1,4,9041.2,1,1,0,0.0009,0.0151,0.0,0.3524
Moese Bros,unknown,1847,1,4,7530.5,1,1,0,0.0007,0.0151,0.0,0.3524
Carliles Pittman & Co,unknown,1847,1,4,4256.5,1,1,0,0.0004,0.0151,0.0,0.3523
W I & H Thompson,unknown,1866,1,3,26580.0,1,1,0,0.0026,0.0113,0.0,0.3522
Leonon Hart & Son,unknown,1857,1,3,28165.5,1,1,0,0.0027,0.0113,0.0,0.3522
Byas & Thomas,unknown,1847,1,3,22631.7,1,1,0,0.0022,0.0113,0.0,0.3521
J & W Nicholson & Co,unknown,1847,1,3,19355.0,1,1,0,0.0019,0.0113,0.0,0.3521
Caldecott & Sons W,unknown,1857,1,3,20072.8,1,1,0,0.0019,0.0113,0.0,0.3521
Cook Son & Co,unknown,1866,1,3,19279.6,1,1,0,0.0019,0.0113,0.0,0.3521
John Currie & Co,unknown,1857,1,3,22240.7,1,1,0,0.0021,0.0113,0.0,0.3521
J Dowson & Co,unknown,1857,1,3,15454.7,1,1,0,0.0015,0.0113,0.0,0.352
John Young & Co,unknown,1857,1,3,15644.1,1,1,0,0.0015,0.0113,0.0,0.352
Ashton & Co,unknown,1857,1,3,16185.0,1,1,0,0.0016,0.0113,0.0,0.352
Gresend & Co,unknown,1857,1,1,73000.0,1,1,0,0.0071,0.0038,0.0,0.352
Bateman & Co,unknown,1866,1,2,47501.0,1,1,0,0.0046,0.0075,0.0,0.352
Joseph Traves & Sons,unknown,1866,1,3,15883.8,1,1,0,0.0015,0.0113,0.0,0.352
Coaeno Gurney Co,unknown,1847,1,1,74914.8,1,1,0,0.0072,0.0038,0.0,0.352
Feo Foss & Co,unknown,1857,1,3,13230.0,1,1,0,0.0013,0.0113,0.0,0.352
"Foster, Porter & Co",unknown,1866,1,3,16621.4,1,1,0,0.0016,0.0113,0.0,0.352
Edwards Matthie,unknown,1857,1,3,7871.9,1,1,0,0.0008,0.0113,0.0,0.3519
Skeen & Leary,unknown,1847,1,3,7879.8,1,1,0,0.0008,0.0113,0.0,0.3519
James Spicer & Sons,unknown,1866,1,3,12199.1,1,1,0,0.0012,0.0113,0.0,0.3519
W Bell & Co,unknown,1847,1,3,9681.3,1,1,0,0.0009,0.0113,0.0,0.3519
G Brette & Co,unknown,1847,1,3,11908.2,1,1,0,0.0012,0.0113,0.0,0.3519
James Duncan & Co,unknown,1866,1,3,11755.8,1,1,0,0.0011,0.0113,0.0,0.3519
Jos. Bridgette & Co,unknown,1857,1,3,12554.0,1,1,0,0.0012,0.0113,0.0,0.3519
Bischoff & Sons,unknown,1847,1,3,7891.0,1,1,0,0.0008,0.0113,0.0,0.3519
James Coster & Co,unknown,1857,1,3,11132.4,1,1,0,0.0011,0.0113,0.0,0.3519
Chs Coles & Son,unknown,1847,1,3,7840.2,1,1,0,0.0008,0.0113,0.0,0.3519
A Joachim,unknown,1857,1,3,9689.1,1,1,0,0.0009,0.0113,0.0,0.3519
George Goss & Co,unknown,1857,1,3,10327.3,1,1,0,0.001,0.0113,0.0,0.3519
Walford Tainen & Co,unknown,1857,1,3,8773.3,1,1,0,0.0008,0.0113,0.0,0.3519
Richard Walford & Co,unknown,1866,1,3,10480.1,1,1,0,0.001,0.0113,0.0,0.3519
T H Elinenhurst,unknown,1847,1,3,9520.8,1,1,0,0.0009,0.0113,0.0,0.3519
Rawson Sons & Co,unknown,1857,1,3,11287.2,1,1,0,0.0011,0.0113,0.0,0.3519
Price'S Patent Candle Co Limited,unknown,1866,1,3,8353.0,1,1,0,0.0008,0.0113,0.0,0.3519
Brown Davis & Co,unknown,1866,1,3,10364.6,1,1,0,0.001,0.0113,0.0,0.3519
Fincham Matson Potts & Co,unknown,1857,1,3,8899.8,1,1,0,0.0009,0.0113,0.0,0.3519
Laurence Phillips & Sons,unknown,1847,1,3,5916.1,1,1,0,0.0006,0.0113,0.0,0.3518
W & A Daniels,unknown,1847,1,3,4787.6,1,1,0,0.0005,0.0113,0.0,0.3518
Merchant Bank & Co Limited,clearing_or_joint_stock_bank,1866,1,2,37537.1,1,1,0,0.0036,0.0075,0.0,0.3518
Egyptian Tubale Acct,unknown,1857,1,1,63804.5,1,1,0,0.0062,0.0038,0.0,0.3518
Sanderson & Murray,bill_broker,1866,1,3,4857.6,1,0,1,0.0005,0.0113,0.0,0.3518
Thomas Moore B L,unknown,1847,1,3,5224.1,1,1,0,0.0005,0.0113,0.0,0.3518
C Armstrong,unknown,1847,1,3,5045.0,1,1,0,0.0005,0.0113,0.0,0.3518
J Wreford & Co,unknown,1847,1,3,5984.2,1,1,0,0.0006,0.0113,0.0,0.3518
Anderson & Cattley,unknown,1847,1,3,5567.2,1,1,0,0.0005,0.0113,0.0,0.3518
Coventry & Son,unknown,1847,1,3,5692.1,1,1,0,0.0005,0.0113,0.0,0.3518
Rob Brooks,unknown,1847,1,3,6829.9,1,1,0,0.0007,0.0113,0.0,0.3518
Dennistoun Cross & Co,unknown,1857,1,2,36836.8,1,1,0,0.0036,0.0075,0.0,0.3518
Rouyemont Bros,unknown,1847,1,3,5135.7,1,1,0,0.0005,0.0113,0.0,0.3518
Fras Nalder & Son,unknown,1847,1,3,4120.9,1,1,0,0.0004,0.0113,0.0,0.3518
N Milcalfe,unknown,1847,1,3,6573.9,1,1,0,0.0006,0.0113,0.0,0.3518
E. B. Meyes,unknown,1866,1,1,60000.0,1,1,0,0.0058,0.0038,0.0,0.3517
A Sellean Son & Co,unknown,1857,1,2,31077.0,1,1,0,0.003,0.0075,0.0,0.3517
I. K. Gilliat & Co,unknown,1866,1,2,28417.1,1,1,0,0.0027,0.0075,0.0,0.3517
Cj Howell & Son,unknown,1857,1,2,29766.6,1,1,0,0.0029,0.0075,0.0,0.3517
Thomson,unknown,1847,1,2,28301.5,1,1,0,0.0027,0.0075,0.0,0.3517
P H van Natteu & Co,unknown,1847,1,2,24689.1,1,1,0,0.0024,0.0075,0.0,0.3516
New Zealand Bank,clearing_or_joint_stock_bank,1866,1,2,26860.0,1,1,0,0.0026,0.0075,0.0,0.3516
Imp Merchant Credit Australia,unknown,1866,1,2,25800.0,1,1,0,0.0025,0.0075,0.0,0.3516
"Pinto Perez, Ashley & Co",unknown,1866,1,2,17670.0,1,1,0,0.0017,0.0075,0.0,0.3515
Mullens Marshall & Co,unknown,1857,1,1,50000.0,1,1,0,0.0048,0.0038,0.0,0.3515
Lewells + Nick,unknown,1857,1,2,18469.0,1,1,0,0.0018,0.0075,0.0,0.3515
Redfern Alexander & Co,unknown,1866,1,2,21100.9,1,1,0,0.002,0.0075,0.0,0.3515
Clawfow Coloui & Co,unknown,1857,1,2,15550.2,1,1,0,0.0015,0.0075,0.0,0.3514
H D J Hugh & Co,unknown,1847,1,2,16785.0,1,1,0,0.0016,0.0075,0.0,0.3514
Woverhamption & Staffordshire Banking Corporation By ?,unknown,1857,1,1,45756.0,1,1,0,0.0044,0.0038,0.0,0.3514
Price'S Patent Candle Company Limited,unknown,1857,1,2,12489.9,1,1,0,0.0012,0.0075,0.0,0.3514
B T Laveo & Co,unknown,1857,1,1,45834.4,1,1,0,0.0044,0.0038,0.0,0.3514
Hinkpatrick & Belguy,unknown,1866,1,2,13604.2,1,1,0,0.0013,0.0075,0.0,0.3514
Edward Erolty & Co,unknown,1857,1,2,12374.3,1,1,0,0.0012,0.0075,0.0,0.3514
Norman Thorne,unknown,1847,1,2,14373.5,1,1,0,0.0014,0.0075,0.0,0.3514
Taccivace Lucklacke,unknown,1857,1,2,16838.0,1,1,0,0.0016,0.0075,0.0,0.3514
Alex & Roberston,unknown,1847,1,2,16223.8,1,1,0,0.0016,0.0075,0.0,0.3514
H + E Muggeridge,unknown,1857,1,2,12504.2,1,1,0,0.0012,0.0075,0.0,0.3514
John Crossley & Sons Limited,unknown,1866,1,2,14355.8,1,1,0,0.0014,0.0075,0.0,0.3514
Lawes & Co R,unknown,1847,1,2,15808.2,1,1,0,0.0015,0.0075,0.0,0.3514
Hop Planters Joint Stock Company,unknown,1866,1,2,11579.9,1,1,0,0.0011,0.0075,0.0,0.3513
Foster & Porter,unknown,1866,1,2,11599.1,1,1,0,0.0011,0.0075,0.0,0.3513
Geo Bretsle & Co,unknown,1857,1,2,11142.4,1,1,0,0.0011,0.0075,0.0,0.3513
Oastler & Palmer,unknown,1866,1,2,9853.1,1,1,0,0.001,0.0075,0.0,0.3513
Dimsdale & Co,unknown,1857,1,1,38475.9,1,1,0,0.0037,0.0038,0.0,0.3513
Henry Powell & Sons,unknown,1857,1,2,8641.4,1,1,0,0.0008,0.0075,0.0,0.3513
T. D. Henry,unknown,1866,1,2,9985.0,1,1,0,0.001,0.0075,0.0,0.3513
Siondet Mayer & Co,unknown,1857,1,2,10525.1,1,1,0,0.001,0.0075,0.0,0.3513
W Mc Andrew & Sons,unknown,1857,1,2,7619.7,1,1,0,0.0007,0.0075,0.0,0.3513
Fishers & Robinson,unknown,1857,1,2,9882.2,1,1,0,0.001,0.0075,0.0,0.3513
Welch Margeston & Co,unknown,1866,1,2,8675.2,1,1,0,0.0008,0.0075,0.0,0.3513
Jimder Co,unknown,1847,1,2,10524.1,1,1,0,0.001,0.0075,0.0,0.3513
Tamvaco M & M,unknown,1847,1,2,6778.0,1,1,0,0.0007,0.0075,0.0,0.3513
Cafsovette Co,unknown,1847,1,2,9861.8,1,1,0,0.001,0.0075,0.0,0.3513
Pollacks Erben,unknown,1847,1,2,10195.6,1,1,0,0.001,0.0075,0.0,0.3513
Geo: Hitchcock W: H & Co,unknown,1866,1,2,9200.7,1,1,0,0.0009,0.0075,0.0,0.3513
L J Enthovson & Co,unknown,1847,1,2,10768.2,1,1,0,0.001,0.0075,0.0,0.3513
J Ruth & Co,unknown,1847,1,1,38597.6,1,1,0,0.0037,0.0038,0.0,0.3513
Callmann & Son,unknown,1847,1,2,6902.4,1,1,0,0.0007,0.0075,0.0,0.3513
Rowson Norton & Co,unknown,1847,1,2,11118.8,1,1,0,0.0011,0.0075,0.0,0.3513
