counterparty,actor_category,crises,n_crises,n_transactions,total_amount,early_access,top_quartile_scale,intermediary_role,centrality_norm,recurrence_norm,cross_crisis_norm,information_channel_score
Grissell Brothers & Co,unknown,1857,1,4,5885.0,1,0,0,0.0006,0.0151,0.0,0.2024
S. Northcote & Co,unknown,1866,1,4,4819.7,1,0,0,0.0005,0.0151,0.0,0.2024
Cash + Ledgard,unknown,1857,1,4,7349.5,1,0,0,0.0007,0.0151,0.0,0.2024
J & W J Courtenay,unknown,1857,1,4,6350.7,1,0,0,0.0006,0.0151,0.0,0.2024
Henderson & Constable,unknown,1857,1,4,6066.8,1,0,0,0.0006,0.0151,0.0,0.2024
Henry Joachim,unknown,1857,1,4,6644.9,1,0,0,0.0006,0.0151,0.0,0.2024
J. H. Rudall,unknown,1857,1,4,5875.7,1,0,0,0.0006,0.0151,0.0,0.2024
C C Williams,unknown,1857,1,4,6615.0,1,0,0,0.0006,0.0151,0.0,0.2024
Wilson & Bellenger,unknown,1866,1,4,6729.4,1,0,0,0.0007,0.0151,0.0,0.2024
Allen Solly & Co,unknown,1866,1,4,6651.4,1,0,0,0.0006,0.0151,0.0,0.2024
B. Tucker & Co,unknown,1866,1,4,4112.5,1,0,0,0.0004,0.0151,0.0,0.2023
Sharpe H & D,unknown,1847,1,4,1376.8,1,0,0,0.0001,0.0151,0.0,0.2023
Howe & Sons,unknown,1847,1,4,3790.0,1,0,0,0.0004,0.0151,0.0,0.2023
J W Liggins,unknown,1847,1,4,2801.9,1,0,0,0.0003,0.0151,0.0,0.2023
J L Baker,unknown,1847,1,4,956.4,1,0,0,0.0001,0.0151,0.0,0.2023
Learidge Smith,unknown,1847,1,4,3322.9,1,0,0,0.0003,0.0151,0.0,0.2023
N Nicholls & Sons,unknown,1857,1,4,2359.8,1,0,0,0.0002,0.0151,0.0,0.2023
H Thompson CC,unknown,1847,1,4,379.0,1,0,0,0.0,0.0151,0.0,0.2023
R Chuter,unknown,1847,1,4,3338.0,1,0,0,0.0003,0.0151,0.0,0.2023
Jos Holl & Co,unknown,1847,1,4,1505.3,1,0,0,0.0001,0.0151,0.0,0.2023
Eyre & Spottiswoode,unknown,1866,1,4,2768.7,1,0,0,0.0003,0.0151,0.0,0.2023
Escourt & Stanley,unknown,1866,1,4,4033.5,1,0,0,0.0004,0.0151,0.0,0.2023
H. D. Baleh,unknown,1866,1,4,758.9,1,0,0,0.0001,0.0151,0.0,0.2023
Leaf Barnett & Co,unknown,1847,1,4,1773.9,1,0,0,0.0002,0.0151,0.0,0.2023
Jno Wood C S,unknown,1847,1,4,676.1,1,0,0,0.0001,0.0151,0.0,0.2023
Balfour Joseph,unknown,1847,1,4,3998.9,1,0,0,0.0004,0.0151,0.0,0.2023
David Low,unknown,1847,1,4,911.5,1,0,0,0.0001,0.0151,0.0,0.2023
W Cann,unknown,1847,1,4,2213.6,1,0,0,0.0002,0.0151,0.0,0.2023
G. Houghton & Sons,unknown,1857,1,4,1471.8,1,0,0,0.0001,0.0151,0.0,0.2023
"Wilson, Seward & Swale",unknown,1857,1,4,4518.0,1,0,0,0.0004,0.0151,0.0,0.2023
C Sparks,unknown,1847,1,4,3527.2,1,0,0,0.0003,0.0151,0.0,0.2023
T Hodgkinson & Co,unknown,1857,1,4,1629.2,1,0,0,0.0002,0.0151,0.0,0.2023
H J Lias & Son,unknown,1857,1,4,1075.4,1,0,0,0.0001,0.0151,0.0,0.2023
E Girdham & Co,unknown,1866,1,4,3086.0,1,0,0,0.0003,0.0151,0.0,0.2023
James Mills,industrial_or_commercial,1866,1,4,2199.8,1,0,0,0.0002,0.0151,0.0,0.2023
G E Mackieth,unknown,1857,1,4,383.6,1,0,0,0.0,0.0151,0.0,0.2023
H Davies,unknown,1857,1,4,3703.9,1,0,0,0.0004,0.0151,0.0,0.2023
Gillies & Horne,unknown,1847,1,4,1917.3,1,0,0,0.0002,0.0151,0.0,0.2023
C. H. Noble,unknown,1866,1,4,3846.2,1,0,0,0.0004,0.0151,0.0,0.2023
Jacobson,unknown,1847,1,4,1667.3,1,0,0,0.0002,0.0151,0.0,0.2023
Naylor Benyon Co Ld,unknown,1914,1,3,25469.7,1,0,0,0.0025,0.0113,0.0,0.2022
S .Japhet Co,unknown,1914,1,2,48500.0,1,0,0,0.0047,0.0075,0.0,0.2021
S.Barrow & Bro Ltd,unknown,1914,1,3,19449.5,1,0,0,0.0019,0.0113,0.0,0.2021
W. Muggeridge & Co,unknown,1866,1,3,7850.7,1,0,0,0.0008,0.0113,0.0,0.2019
T.O. Stock & Co,unknown,1866,1,3,7800.0,1,0,0,0.0008,0.0113,0.0,0.2019
Pomsford Southall & Co,unknown,1866,1,3,5887.0,1,0,0,0.0006,0.0113,0.0,0.2018
Gunning & Duarell,unknown,1866,1,3,4382.6,1,0,0,0.0004,0.0113,0.0,0.2018
W Smee & Sons,unknown,1857,1,3,3144.8,1,0,0,0.0003,0.0113,0.0,0.2018
W & J Lowndes & Co,unknown,1847,1,3,2927.6,1,0,0,0.0003,0.0113,0.0,0.2018
Thomas Walker,unknown,1866,1,3,4010.8,1,0,0,0.0004,0.0113,0.0,0.2018
Brandram Bros,unknown,1847,1,3,4007.9,1,0,0,0.0004,0.0113,0.0,0.2018
J & W Hoolon,unknown,1847,1,3,2599.9,1,0,0,0.0003,0.0113,0.0,0.2018
Simon & Carey,unknown,1857,1,3,7330.5,1,0,0,0.0007,0.0113,0.0,0.2018
Thomas Severs,unknown,1847,1,3,2723.4,1,0,0,0.0003,0.0113,0.0,0.2018
Novelli & Co,unknown,1866,1,3,7181.6,1,0,0,0.0007,0.0113,0.0,0.2018
George Walker,unknown,1866,1,3,4050.0,1,0,0,0.0004,0.0113,0.0,0.2018
Morlet + Horne,unknown,1857,1,3,5747.0,1,0,0,0.0006,0.0113,0.0,0.2018
A. Salomons,unknown,1866,1,3,5245.5,1,0,0,0.0005,0.0113,0.0,0.2018
Rob Muter,unknown,1847,1,3,2684.0,1,0,0,0.0003,0.0113,0.0,0.2018
"Hanson, Smiths & Stephens",unknown,1866,1,3,4856.1,1,0,0,0.0005,0.0113,0.0,0.2018
H P Rouquette & Co,unknown,1857,1,3,6517.9,1,0,0,0.0006,0.0113,0.0,0.2018
G & J Prince,unknown,1857,1,3,3485.7,1,0,0,0.0003,0.0113,0.0,0.2018
Green Humphry & Co,unknown,1866,1,3,3546.8,1,0,0,0.0003,0.0113,0.0,0.2018
Horne & Watney,unknown,1857,1,3,7420.9,1,0,0,0.0007,0.0113,0.0,0.2018
Ditchburn & Mare,unknown,1847,1,3,2622.6,1,0,0,0.0003,0.0113,0.0,0.2018
T. Husband & Co,unknown,1866,1,3,4057.1,1,0,0,0.0004,0.0113,0.0,0.2018
N. C. Frank & Sons,unknown,1866,1,3,3243.8,1,0,0,0.0003,0.0113,0.0,0.2018
T. De La Rue & Co,unknown,1866,1,3,3610.1,1,0,0,0.0003,0.0113,0.0,0.2018
Hartman & Mallet,unknown,1866,1,3,6218.3,1,0,0,0.0006,0.0113,0.0,0.2018
Sevidet Mayer & Co,unknown,1857,1,3,6937.4,1,0,0,0.0007,0.0113,0.0,0.2018
J H Randall,unknown,1857,1,3,3632.4,1,0,0,0.0004,0.0113,0.0,0.2018
G Johnson & Co,unknown,1847,1,3,3039.7,1,0,0,0.0003,0.0113,0.0,0.2018
I Isaacs,unknown,1857,1,3,2847.2,1,0,0,0.0003,0.0113,0.0,0.2018
Rowley & Davies,unknown,1866,1,3,6817.8,1,0,0,0.0007,0.0113,0.0,0.2018
"Dae La Rue Thomas, & Co",unknown,1857,1,3,6051.8,1,0,0,0.0006,0.0113,0.0,0.2018
Venables Wilson & Co,unknown,1847,1,3,3100.6,1,0,0,0.0003,0.0113,0.0,0.2018
I. W. Cripps,unknown,1866,1,3,5757.9,1,0,0,0.0006,0.0113,0.0,0.2018
Mangles Brothers,unknown,1857,1,3,5458.1,1,0,0,0.0005,0.0113,0.0,0.2018
Resta Moore,unknown,1857,1,3,1362.5,1,0,0,0.0001,0.0113,0.0,0.2017
David Brown,unknown,1847,1,3,944.6,1,0,0,0.0001,0.0113,0.0,0.2017
N B Gurney & Sons,unknown,1847,1,3,931.5,1,0,0,0.0001,0.0113,0.0,0.2017
Donaldson Laubert & Co,unknown,1847,1,3,0.0,1,0,0,0.0,0.0113,0.0,0.2017
John Cape,unknown,1847,1,3,1494.2,1,0,0,0.0001,0.0113,0.0,0.2017
Cradock & Co,unknown,1847,1,3,0.0,1,0,0,0.0,0.0113,0.0,0.2017
John Reay Sons & Co,unknown,1857,1,3,2149.1,1,0,0,0.0002,0.0113,0.0,0.2017
Thomas Reynolds Jnr,unknown,1847,1,3,866.6,1,0,0,0.0001,0.0113,0.0,0.2017
W Learmouth & Co,unknown,1847,1,3,2462.7,1,0,0,0.0002,0.0113,0.0,0.2017
Parker Hine & Co,unknown,1857,1,3,2146.9,1,0,0,0.0002,0.0113,0.0,0.2017
Tho Biggs,unknown,1857,1,3,198.0,1,0,0,0.0,0.0113,0.0,0.2017
Lutwyike & Guys,unknown,1847,1,3,1069.5,1,0,0,0.0001,0.0113,0.0,0.2017
Paul & Dastis,unknown,1847,1,3,2113.2,1,0,0,0.0002,0.0113,0.0,0.2017
H Lancaster & Bull,unknown,1857,1,3,2135.5,1,0,0,0.0002,0.0113,0.0,0.2017
Stephen Evans & Co,unknown,1866,1,3,2232.4,1,0,0,0.0002,0.0113,0.0,0.2017
J McCutcheon,unknown,1847,1,3,0.0,1,0,0,0.0,0.0113,0.0,0.2017
Standring Brothers,unknown,1857,1,3,2530.8,1,0,0,0.0002,0.0113,0.0,0.2017
C Heaton & Co,unknown,1847,1,3,0.0,1,0,0,0.0,0.0113,0.0,0.2017
R Halls M L,unknown,1847,1,3,1615.9,1,0,0,0.0002,0.0113,0.0,0.2017
Alex Webber & Co,unknown,1866,1,3,1972.1,1,0,0,0.0002,0.0113,0.0,0.2017
John Riaff Sons & Co,unknown,1857,1,3,2017.1,1,0,0,0.0002,0.0113,0.0,0.2017
W Watts,unknown,1847,1,3,337.7,1,0,0,0.0,0.0113,0.0,0.2017
J H Noding,unknown,1847,1,3,2350.7,1,0,0,0.0002,0.0113,0.0,0.2017
Heitz & Deveze,unknown,1866,1,3,2015.6,1,0,0,0.0002,0.0113,0.0,0.2017
Hore + Gifford,unknown,1857,1,3,2388.7,1,0,0,0.0002,0.0113,0.0,0.2017
J Cockburn & Co,unknown,1847,1,3,1425.0,1,0,0,0.0001,0.0113,0.0,0.2017
C Tauntlory,unknown,1857,1,3,1800.0,1,0,0,0.0002,0.0113,0.0,0.2017
P. Abraham,unknown,1866,1,3,1071.0,1,0,0,0.0001,0.0113,0.0,0.2017
Chas Armstrong,unknown,1847,1,3,1357.2,1,0,0,0.0001,0.0113,0.0,0.2017
Joseph Tetley & Co,unknown,1866,1,3,2316.6,1,0,0,0.0002,0.0113,0.0,0.2017
"Meares, Absolom & Co",unknown,1866,1,3,998.0,1,0,0,0.0001,0.0113,0.0,0.2017
Rob Christie & Co,unknown,1847,1,3,1902.1,1,0,0,0.0002,0.0113,0.0,0.2017
Forman & Hadon,unknown,1847,1,3,319.0,1,0,0,0.0,0.0113,0.0,0.2017
P Davey & Sons,unknown,1857,1,3,2475.3,1,0,0,0.0002,0.0113,0.0,0.2017
T. Hodgekinson & Co,unknown,1866,1,3,1872.5,1,0,0,0.0002,0.0113,0.0,0.2017
G. E Macketh,unknown,1866,1,3,368.5,1,0,0,0.0,0.0113,0.0,0.2017
T Wiggin & Co,unknown,1847,1,3,1919.0,1,0,0,0.0002,0.0113,0.0,0.2017
Wornersley & Co,unknown,1847,1,3,1835.4,1,0,0,0.0002,0.0113,0.0,0.2017
T M Waters,unknown,1857,1,3,2152.4,1,0,0,0.0002,0.0113,0.0,0.2017
Favell & Beddome,unknown,1847,1,3,1830.8,1,0,0,0.0002,0.0113,0.0,0.2017
Geo Houghton & Sons,unknown,1847,1,3,250.2,1,0,0,0.0,0.0113,0.0,0.2017
Geo Simmons,unknown,1847,1,3,494.2,1,0,0,0.0,0.0113,0.0,0.2017
Oliver & Carr,unknown,1866,1,3,1252.7,1,0,0,0.0001,0.0113,0.0,0.2017
London & Liverpool Bank Of Commerce Ltd,clearing_or_joint_stock_bank,1914,1,2,26964.1,1,0,0,0.0026,0.0075,0.0,0.2016
"Jacomb, Hogg & Co",unknown,1866,1,2,7701.4,1,0,0,0.0007,0.0075,0.0,0.2013
J Carter & Co,unknown,1857,1,2,7272.1,1,0,0,0.0007,0.0075,0.0,0.2013
Poutus Kleman,unknown,1866,1,2,7440.0,1,0,0,0.0007,0.0075,0.0,0.2013
Page & Welch,unknown,1866,1,2,6909.9,1,0,0,0.0007,0.0075,0.0,0.2013
C Leary & Co,unknown,1857,1,2,7450.2,1,0,0,0.0007,0.0075,0.0,0.2013
I T W Noakes,unknown,1857,1,2,6773.8,1,0,0,0.0007,0.0075,0.0,0.2013
Judah Hard & Co,unknown,1866,1,2,7284.4,1,0,0,0.0007,0.0075,0.0,0.2013
"Porter, Schlusser & Co",unknown,1866,1,2,2760.0,1,0,0,0.0003,0.0075,0.0,0.2012
Middleton Answorth & Co,unknown,1866,1,2,5199.2,1,0,0,0.0005,0.0075,0.0,0.2012
"Bidgood, Jones & Wilson",unknown,1866,1,2,3865.6,1,0,0,0.0004,0.0075,0.0,0.2012
"Locke, Crosier & Edwards",unknown,1866,1,2,1631.3,1,0,0,0.0002,0.0075,0.0,0.2012
Boyson & Hoyer,unknown,1847,1,2,3367.6,1,0,0,0.0003,0.0075,0.0,0.2012
P Ruckham,unknown,1847,1,2,1719.9,1,0,0,0.0002,0.0075,0.0,0.2012
L Bisset & Co,unknown,1857,1,2,3109.1,1,0,0,0.0003,0.0075,0.0,0.2012
Wm Oliver & Sons Ltd,unknown,1914,1,2,5238.3,1,0,0,0.0005,0.0075,0.0,0.2012
Kemp Stone & Co,unknown,1866,1,2,4294.3,1,0,0,0.0004,0.0075,0.0,0.2012
Wn De Hacelles,unknown,1857,1,2,6151.8,1,0,0,0.0006,0.0075,0.0,0.2012
"Judah, Hart & Co",unknown,1866,1,2,2414.4,1,0,0,0.0002,0.0075,0.0,0.2012
Bidgorddons & Co,unknown,1857,1,2,2545.3,1,0,0,0.0002,0.0075,0.0,0.2012
Lapton Hootond & Co,unknown,1857,1,2,2867.1,1,0,0,0.0003,0.0075,0.0,0.2012
W Vaughan & Co,unknown,1857,1,2,5791.4,1,0,0,0.0006,0.0075,0.0,0.2012
Southall & Ponsford,unknown,1857,1,2,2417.4,1,0,0,0.0002,0.0075,0.0,0.2012
Te Blatsphiel,unknown,1857,1,2,2005.3,1,0,0,0.0002,0.0075,0.0,0.2012
Buckler Woolbright,unknown,1866,1,2,5173.3,1,0,0,0.0005,0.0075,0.0,0.2012
Tambouru & Bell,unknown,1847,1,2,1925.1,1,0,0,0.0002,0.0075,0.0,0.2012
Clode & Baker,unknown,1866,1,2,6336.4,1,0,0,0.0006,0.0075,0.0,0.2012
W Clowes & Co,unknown,1847,1,2,2823.4,1,0,0,0.0003,0.0075,0.0,0.2012
Burr Brother & Co,unknown,1866,1,2,2388.5,1,0,0,0.0002,0.0075,0.0,0.2012
Gottschalch & Schrade,unknown,1847,1,2,1843.2,1,0,0,0.0002,0.0075,0.0,0.2012
"Grierson, Cole & Co.",unknown,1866,1,2,1674.2,1,0,0,0.0002,0.0075,0.0,0.2012
Gunning + Luarell,unknown,1857,1,2,1694.2,1,0,0,0.0002,0.0075,0.0,0.2012
Balls Garrett,unknown,1866,1,2,1807.1,1,0,0,0.0002,0.0075,0.0,0.2012
J. Hughes & Co,unknown,1866,1,2,1654.5,1,0,0,0.0002,0.0075,0.0,0.2012
Smith & Lister,unknown,1866,1,2,5980.7,1,0,0,0.0006,0.0075,0.0,0.2012
Shield & Harwood,unknown,1847,1,2,1595.0,1,0,0,0.0002,0.0075,0.0,0.2012
Hocking Hitchock & Co,unknown,1866,1,2,4293.6,1,0,0,0.0004,0.0075,0.0,0.2012
Seys Mason & Co,unknown,1847,1,2,2229.8,1,0,0,0.0002,0.0075,0.0,0.2012
Rowley & Co,unknown,1847,1,2,2912.5,1,0,0,0.0003,0.0075,0.0,0.2012
Ruck Fenwick & Ruck,unknown,1857,1,2,4778.4,1,0,0,0.0005,0.0075,0.0,0.2012
Inglis & Wakefield,unknown,1866,1,2,6023.5,1,0,0,0.0006,0.0075,0.0,0.2012
It Tixcsen & Co,unknown,1857,1,2,2669.6,1,0,0,0.0003,0.0075,0.0,0.2012
W Speir & Co,unknown,1847,1,2,2531.4,1,0,0,0.0002,0.0075,0.0,0.2012
J & C Ratliff,unknown,1847,1,2,3908.0,1,0,0,0.0004,0.0075,0.0,0.2012
J & N Smith,unknown,1847,1,2,2611.9,1,0,0,0.0003,0.0075,0.0,0.2012
W. H. Hindley,unknown,1866,1,2,2358.5,1,0,0,0.0002,0.0075,0.0,0.2012
J Main Sons & Co,unknown,1857,1,2,3622.6,1,0,0,0.0003,0.0075,0.0,0.2012
J Mathew M L,unknown,1847,1,2,1669.9,1,0,0,0.0002,0.0075,0.0,0.2012
J Maurenbrecher & Co,unknown,1857,1,2,5038.2,1,0,0,0.0005,0.0075,0.0,0.2012
S. W. Silver & Co,unknown,1866,1,2,2599.1,1,0,0,0.0003,0.0075,0.0,0.2012
C Faintling,unknown,1857,1,2,2272.5,1,0,0,0.0002,0.0075,0.0,0.2012
Arthur Lewis,unknown,1847,1,2,2835.0,1,0,0,0.0003,0.0075,0.0,0.2012
Swonnell Samuel & Son,unknown,1866,1,2,2327.4,1,0,0,0.0002,0.0075,0.0,0.2012
Field & Sons,unknown,1866,1,2,3428.2,1,0,0,0.0003,0.0075,0.0,0.2012
Jno Kendall,unknown,1847,1,2,2287.1,1,0,0,0.0002,0.0075,0.0,0.2012
D Lloyd,unknown,1857,1,2,5115.3,1,0,0,0.0005,0.0075,0.0,0.2012
Cutler & Barker,unknown,1866,1,2,1956.5,1,0,0,0.0002,0.0075,0.0,0.2012
David Lloyd & Co,unknown,1866,1,2,2563.6,1,0,0,0.0002,0.0075,0.0,0.2012
Dufay & Isnard,unknown,1866,1,2,1915.3,1,0,0,0.0002,0.0075,0.0,0.2012
"Dunbar, Dicksons & Co",unknown,1866,1,2,3806.3,1,0,0,0.0004,0.0075,0.0,0.2012
John Fore & Co,unknown,1857,1,2,3919.6,1,0,0,0.0004,0.0075,0.0,0.2012
Cripps & Starkey,unknown,1857,1,2,2621.2,1,0,0,0.0003,0.0075,0.0,0.2012
A Dimitris & Sons,unknown,1857,1,2,1610.3,1,0,0,0.0002,0.0075,0.0,0.2012
Favell Beddome & Co,unknown,1857,1,2,2829.6,1,0,0,0.0003,0.0075,0.0,0.2012
Washington & Davies,unknown,1857,1,2,1631.3,1,0,0,0.0002,0.0075,0.0,0.2012
John Boyd,unknown,1866,1,2,1722.4,1,0,0,0.0002,0.0075,0.0,0.2012
Thomas Stephens & Co,unknown,1866,1,2,6210.4,1,0,0,0.0006,0.0075,0.0,0.2012
Jnr Leas & Son,unknown,1847,1,2,2947.7,1,0,0,0.0003,0.0075,0.0,0.2012
Elvlvhisther,unknown,1847,1,2,1827.5,1,0,0,0.0002,0.0075,0.0,0.2012
C Fauntheory,unknown,1847,1,2,1859.1,1,0,0,0.0002,0.0075,0.0,0.2012
Tevan Kamon & Son,unknown,1857,1,2,2678.1,1,0,0,0.0003,0.0075,0.0,0.2012
Thackrah L & Co,unknown,1847,1,2,2160.3,1,0,0,0.0002,0.0075,0.0,0.2012
F Giesler & Co,unknown,1847,1,2,2312.0,1,0,0,0.0002,0.0075,0.0,0.2012
Thomas Drayton,unknown,1857,1,2,23.4,1,0,0,0.0,0.0075,0.0,0.2011
Alfred Towgood,unknown,1857,1,2,312.9,1,0,0,0.0,0.0075,0.0,0.2011
J & W McCutcheon,unknown,1847,1,2,411.4,1,0,0,0.0,0.0075,0.0,0.2011
J & W Rider,unknown,1866,1,2,87.9,1,0,0,0.0,0.0075,0.0,0.2011
Sayant Fridor Co,unknown,1847,1,2,945.0,1,0,0,0.0001,0.0075,0.0,0.2011
J Boys,unknown,1847,1,2,429.5,1,0,0,0.0,0.0075,0.0,0.2011
J Burls,unknown,1847,1,2,584.2,1,0,0,0.0001,0.0075,0.0,0.2011
Samuel Strickland,unknown,1866,1,2,198.6,1,0,0,0.0,0.0075,0.0,0.2011
W B Hine Parker & Co,unknown,1847,1,2,963.0,1,0,0,0.0001,0.0075,0.0,0.2011
J Cousens & Sons,unknown,1847,1,2,374.1,1,0,0,0.0,0.0075,0.0,0.2011
J H & G Scovell,unknown,1847,1,2,1197.6,1,0,0,0.0001,0.0075,0.0,0.2011
J F Stanford,unknown,1847,1,2,96.0,1,0,0,0.0,0.0075,0.0,0.2011
P J Meugsino,unknown,1857,1,2,1046.5,1,0,0,0.0001,0.0075,0.0,0.2011
J H Dart,unknown,1857,1,2,402.5,1,0,0,0.0,0.0075,0.0,0.2011
Sam Magnus,unknown,1847,1,2,1388.3,1,0,0,0.0001,0.0075,0.0,0.2011
Sam & Vickers,unknown,1847,1,2,188.1,1,0,0,0.0,0.0075,0.0,0.2011
J Lias & Son,unknown,1847,1,2,464.3,1,0,0,0.0,0.0075,0.0,0.2011
Tr Browne,unknown,1857,1,2,179.5,1,0,0,0.0,0.0075,0.0,0.2011
Union Life,unknown,1847,1,2,1524.5,1,0,0,0.0001,0.0075,0.0,0.2011
G F Gaubert,unknown,1847,1,2,1017.3,1,0,0,0.0001,0.0075,0.0,0.2011
G. B. Yates & Son,unknown,1866,1,2,775.7,1,0,0,0.0001,0.0075,0.0,0.2011
T Dunhill,unknown,1857,1,2,198.2,1,0,0,0.0,0.0075,0.0,0.2011
Thomas Fielding,unknown,1847,1,2,321.8,1,0,0,0.0,0.0075,0.0,0.2011
E W Whistler,unknown,1847,1,2,1230.0,1,0,0,0.0001,0.0075,0.0,0.2011
L Friedeberg,unknown,1847,1,2,259.0,1,0,0,0.0,0.0075,0.0,0.2011
H Erswell,unknown,1847,1,2,1454.3,1,0,0,0.0001,0.0075,0.0,0.2011
Beaudsell & Jackson,unknown,1866,1,2,1238.6,1,0,0,0.0001,0.0075,0.0,0.2011
W Jenkinson,unknown,1866,1,2,565.5,1,0,0,0.0001,0.0075,0.0,0.2011
A Jackson & Co,unknown,1857,1,2,418.7,1,0,0,0.0,0.0075,0.0,0.2011
A L Crohn,unknown,1857,1,2,489.0,1,0,0,0.0,0.0075,0.0,0.2011
Thomas Nelson & Son,unknown,1866,1,2,1207.9,1,0,0,0.0001,0.0075,0.0,0.2011
Henckell Du Buisson Co,unknown,1914,1,2,1175.5,1,0,0,0.0001,0.0075,0.0,0.2011
W E Eddison,unknown,1857,1,2,929.6,1,0,0,0.0001,0.0075,0.0,0.2011
Bailey & Fox,unknown,1847,1,2,1517.1,1,0,0,0.0001,0.0075,0.0,0.2011
T & W H Hirst,unknown,1847,1,2,881.0,1,0,0,0.0001,0.0075,0.0,0.2011
M L Magnus,unknown,1847,1,2,366.2,1,0,0,0.0,0.0075,0.0,0.2011
F. Dunhill,unknown,1866,1,2,105.8,1,0,0,0.0,0.0075,0.0,0.2011
Eady & Paris,unknown,1866,1,2,344.6,1,0,0,0.0,0.0075,0.0,0.2011
Preacher Osborne & Co,unknown,1847,1,2,918.7,1,0,0,0.0001,0.0075,0.0,0.2011
I. E. Coleman,unknown,1857,1,2,1091.7,1,0,0,0.0001,0.0075,0.0,0.2011
I. W. Horsley,unknown,1866,1,2,610.3,1,0,0,0.0001,0.0075,0.0,0.2011
George Wyatt,unknown,1857,1,2,61.1,1,0,0,0.0,0.0075,0.0,0.2011
Isaac Walker,unknown,1847,1,2,755.5,1,0,0,0.0001,0.0075,0.0,0.2011
C. E. Heinke,unknown,1866,1,2,329.9,1,0,0,0.0,0.0075,0.0,0.2011
"John Reay, Sons Co",unknown,1866,1,2,637.4,1,0,0,0.0001,0.0075,0.0,0.2011
Bridgewater Jones & Co,unknown,1866,1,2,1169.8,1,0,0,0.0001,0.0075,0.0,0.2011
R & W J Roxby,unknown,1847,1,2,1128.0,1,0,0,0.0001,0.0075,0.0,0.2011
Rouney Bruce & Co,unknown,1847,1,2,1128.8,1,0,0,0.0001,0.0075,0.0,0.2011
J. W Laird,unknown,1866,1,2,839.4,1,0,0,0.0001,0.0075,0.0,0.2011
Joseph Callinson,unknown,1857,1,2,663.4,1,0,0,0.0001,0.0075,0.0,0.2011
John Wood C S,unknown,1847,1,2,415.8,1,0,0,0.0,0.0075,0.0,0.2011
J Urwich & Sons,unknown,1847,1,2,1546.9,1,0,0,0.0001,0.0075,0.0,0.2011
J Udall,unknown,1847,1,2,390.6,1,0,0,0.0,0.0075,0.0,0.2011
J. Samuel & Emmanuel,unknown,1866,1,2,52.6,1,0,0,0.0,0.0075,0.0,0.2011
S Houghton & Son,unknown,1847,1,2,166.9,1,0,0,0.0,0.0075,0.0,0.2011
R J + R Swift,unknown,1857,1,2,178.6,1,0,0,0.0,0.0075,0.0,0.2011
Bl Leman,unknown,1857,1,2,310.0,1,0,0,0.0,0.0075,0.0,0.2011
S Swonnell & Son,unknown,1857,1,2,888.0,1,0,0,0.0001,0.0075,0.0,0.2011
R A Coward,unknown,1847,1,2,1422.4,1,0,0,0.0001,0.0075,0.0,0.2011
Robert Adams,unknown,1866,1,2,0.0,1,0,0,0.0,0.0075,0.0,0.2011
J P Thal & Co,unknown,1857,1,2,780.0,1,0,0,0.0001,0.0075,0.0,0.2011
Jr Browne,unknown,1857,1,2,238.1,1,0,0,0.0,0.0075,0.0,0.2011
Rob & Simmons,unknown,1847,1,2,577.5,1,0,0,0.0001,0.0075,0.0,0.2011
R & N Nicholls,unknown,1847,1,2,489.9,1,0,0,0.0,0.0075,0.0,0.2011
A B Byass,unknown,1847,1,2,141.0,1,0,0,0.0,0.0075,0.0,0.2011
J. P. Thol & Co,unknown,1866,1,2,656.8,1,0,0,0.0001,0.0075,0.0,0.2011
Bier & Partner,unknown,1857,1,2,173.9,1,0,0,0.0,0.0075,0.0,0.2011
Jh Macku,unknown,1857,1,2,1409.0,1,0,0,0.0001,0.0075,0.0,0.2011
William Howell & Co,unknown,1847,1,2,411.1,1,0,0,0.0,0.0075,0.0,0.2011
Jas Rundall,unknown,1847,1,2,227.1,1,0,0,0.0,0.0075,0.0,0.2011
Borker Sons & Co,unknown,1847,1,2,0.0,1,0,0,0.0,0.0075,0.0,0.2011
William Horn,unknown,1847,1,2,813.5,1,0,0,0.0001,0.0075,0.0,0.2011
Barry & Nephews,unknown,1866,1,1,4700.0,1,0,0,0.0005,0.0038,0.0,0.2007
H Ballin & Son,unknown,1857,1,1,5000.0,1,0,0,0.0005,0.0038,0.0,0.2007
Morley Nephew & Co,unknown,1857,1,1,5852.2,1,0,0,0.0006,0.0038,0.0,0.2007
H Butler & Son,unknown,1857,1,1,7428.8,1,0,0,0.0007,0.0038,0.0,0.2007
Sillem & Co,unknown,1866,1,1,5085.8,1,0,0,0.0005,0.0038,0.0,0.2007
Robert Campbell,unknown,1866,1,1,5700.3,1,0,0,0.0006,0.0038,0.0,0.2007
J. Tenny Clarke & Co,unknown,1866,1,1,5620.3,1,0,0,0.0005,0.0038,0.0,0.2007
Frangopulo Agelasto Co,unknown,1866,1,1,7426.0,1,0,0,0.0007,0.0038,0.0,0.2007
J. Hubbard & Co,unknown,1866,1,1,6900.0,1,0,0,0.0007,0.0038,0.0,0.2007
L. Brusewitz,unknown,1866,1,1,4700.0,1,0,0,0.0005,0.0038,0.0,0.2007
A Jarohai,unknown,1857,1,1,5197.5,1,0,0,0.0005,0.0038,0.0,0.2007
John Dickensgill & Son,unknown,1857,1,1,6003.9,1,0,0,0.0006,0.0038,0.0,0.2007
