counterparty,actor_category,crises,n_crises,n_transactions,total_amount,information_channel_score,spans_cable
Anglo Egyptian Bank Ltd,foreign_or_colonial_financial,1914,1,7,523242.6,0.3641,no
Trumpler & R,unknown,1847,1,23,50370.2,0.364,no
Gray & MacFarlan,unknown,1847,1,24,23005.0,0.364,no
T & W King,unknown,1847,1,17,223302.0,0.364,no
J Shears & Sons,unknown,1847,1,23,49223.5,0.364,no
Stewart & Westmorland,unknown,1847,1,22,80500.7,0.364,no
E Lindo & Co,unknown,1847,1,21,102679.4,0.3639,no
Scott Bell & Co,unknown,1847,1,19,156252.9,0.3638,no
Hy Sherwood & Co,unknown,1914,1,10,418244.2,0.3637,no
Johnson Cole & Co,unknown,1847,1,22,54974.0,0.3635,no
Glyn & Co,unknown,1857,1,5,550257.4,0.3635,no
Henry Clarke & Co,unknown,1866,1,22,47600.2,0.3634,no
Alex Bell & Sons,unknown,1866,1,20,95830.0,0.3632,no
John Gladstone,unknown,1847,1,22,32684.4,0.3631,no
J R Jaffray,unknown,1847,1,22,30518.8,0.363,no
Francis Ede Son & Co,unknown,1857,1,20,84949.3,0.363,no
Maclean Maris & Co,unknown,1847,1,20,81144.5,0.3629,no
Chris Kreeft,unknown,1847,1,22,22003.5,0.3629,no
J Horstman,unknown,1847,1,19,110768.9,0.3629,no
Reade & Grove,unknown,1847,1,21,46483.7,0.3628,no
R Harrison & Co,unknown,1847,1,20,75964.4,0.3628,no
Chas Fauntleroy,unknown,1847,1,22,17089.5,0.3628,no
S Courtauld & Co,unknown,1847,1,20,75117.8,0.3628,no
J R Jaffray & Co,unknown,1857,1,21,42738.0,0.3627,no
J C Abrams,unknown,1847,1,22,9914.0,0.3626,no
Brockelbank & Roth,unknown,1847,1,20,61596.4,0.3625,no
F J Van Zeller,unknown,1847,1,21,24438.8,0.3624,no
Alexander Cullen & Co,unknown,1847,1,21,28596.2,0.3624,no
Kraeutler & Mieville,unknown,1857,1,13,259095.7,0.3624,no
Ionides & Co,unknown,1847,1,18,107545.8,0.3623,no
Rob Von Glehn,unknown,1847,1,21,20445.8,0.3623,no
Sadler Harrison & Co,unknown,1847,1,20,37798.9,0.3621,no
Lon Hanseatic Bk Ld,unknown,1914,1,12,274311.4,0.3621,no
J Pickersgill & Son,unknown,1847,1,18,90127.1,0.3619,no
Forster & Smith,unknown,1847,1,18,87468.8,0.3619,no
Stubbs & Church,unknown,1847,1,20,28138.9,0.3619,no
Jas Coster & Co,unknown,1847,1,18,81913.1,0.3618,no
Castelli G & Co,unknown,1847,1,18,86102.4,0.3618,no
Trueman & Cook,unknown,1847,1,15,168231.5,0.3617,no
Vyse Sons & Co,unknown,1866,1,19,49826.5,0.3617,no
Sargant Gordon & Co,unknown,1847,1,20,15509.3,0.3616,no
Evans Bros,unknown,1847,1,20,11718.4,0.3615,no
B C J Gray & Son,unknown,1847,1,19,30648.8,0.3614,no
Richardson & Co,unknown,1847,1,19,22138.4,0.3612,no
Sheatfield L & Co,unknown,1847,1,19,24754.0,0.3612,no
S.P. Framjee & Co,unknown,1866,1,16,108969.0,0.3612,no
Reid Irving & Co,unknown,1847,1,13,201072.8,0.3612,no
Collmann & Son,unknown,1847,1,15,138921.6,0.3612,no
London River Place Bank Limited,clearing_or_joint_stock_bank,1866,1,12,224653.4,0.3611,no
S S Curtis,unknown,1847,1,19,12932.8,0.361,no
Greenwood & Butler,unknown,1847,1,17,63546.4,0.3608,no
Barclay Brothers & Co,clearing_or_joint_stock_bank,1847,1,15,119994.5,0.3608,no
M Levin & Adler,unknown,1857,1,17,58339.2,0.3608,no
E Sheldon & Co,unknown,1857,1,18,30269.8,0.3608,no
Moses Bros,unknown,1847,1,18,26898.1,0.3607,no
L Goddard,unknown,1847,1,18,28536.2,0.3607,no
R S Cox & Co,unknown,1847,1,18,27659.6,0.3607,no
William Thorne,unknown,1847,1,18,26866.6,0.3607,no
J Jacobson,unknown,1847,1,18,6430.4,0.3603,no
John Prince B S,unknown,1847,1,18,4318.5,0.3603,no
Chamberlain & Son,unknown,1847,1,17,31719.0,0.3602,no
Geo Laurence,unknown,1847,1,16,58152.1,0.3602,no
"Naylor, Benzon & Co",unknown,1866,1,12,172539.0,0.3601,no
E Price & Co,unknown,1847,1,16,47253.8,0.36,no
Rob B Byass,unknown,1857,1,16,47123.9,0.36,no
Henchell D & Co,unknown,1847,1,16,46728.3,0.36,no
Chartered Merchant Bank Of India Limited,foreign_or_colonial_financial,1866,1,4,400000.0,0.36,no
E Busch & Co,unknown,1847,1,16,46094.6,0.36,no
J G Behrends,unknown,1847,1,16,48181.3,0.36,no
Bomanjee Framjee Cama & Co,unknown,1866,1,14,105923.0,0.36,no
Church Son & Stubbs,unknown,1857,1,17,18535.7,0.36,no
S. Oppenheim & Sons,unknown,1866,1,10,220475.7,0.3599,no
Browning & Son,unknown,1847,1,17,13317.0,0.3599,no
Scheibler & Coenen,unknown,1866,1,16,39671.2,0.3598,no
I. W. Cater Inman & Co,unknown,1857,1,14,97718.9,0.3598,no
Geo Brettle & Co,unknown,1847,1,15,61882.7,0.3597,no
