counterparty,actor_category,crises,n_crises,n_transactions,total_amount,information_channel_score,spans_cable
Fowler Neph & Co,unknown,1847,1,3,41514.9,0.3525,no
Fraser Neilson,unknown,1847,1,4,13733.2,0.3525,no
A S Petrie & Co,unknown,1847,1,4,11011.9,0.3525,no
Bhimsey Sewjee & Co,unknown,1866,1,4,13545.8,0.3525,no
Peter Dickson & Co,unknown,1847,1,4,12345.2,0.3525,no
Alison C & Co,unknown,1847,1,4,13742.4,0.3525,no
Crowe Christian & Co,unknown,1857,1,4,11478.4,0.3525,no
Stuart & Sharpe,unknown,1847,1,4,13190.0,0.3525,no
Draper Pietroni & Co,unknown,1857,1,4,13138.0,0.3525,no
Bowes Game & Moren,unknown,1866,1,4,13891.5,0.3525,no
Moese Bros,unknown,1847,1,4,7530.5,0.3524,no
Jon Hopkinson,unknown,1847,1,4,4862.4,0.3524,no
J R & N Browning & Co,unknown,1847,1,4,7368.5,0.3524,no
Gabain & Co,unknown,1847,1,4,6748.1,0.3524,no
Fincham M & Co,unknown,1847,1,4,5379.6,0.3524,no
J Maurenbrecker Co,unknown,1847,1,4,8957.6,0.3524,no
G & I. A. Noble,unknown,1866,1,4,9041.2,0.3524,no
Jas Duke,unknown,1847,1,4,8567.3,0.3524,no
Sam & Sadler & Co,unknown,1847,1,4,6856.2,0.3524,no
Jas Stuart & Sons,unknown,1847,1,4,6387.2,0.3524,no
J G Tyrie,unknown,1847,1,4,9766.6,0.3524,no
David Taylor & Sons,unknown,1866,1,4,8614.2,0.3524,no
J C White,unknown,1847,1,4,5467.2,0.3524,no
H Cayley & Co,unknown,1847,1,4,5615.0,0.3524,no
Carliles Pittman & Co,unknown,1847,1,4,4256.5,0.3523,no
Leonon Hart & Son,unknown,1857,1,3,28165.5,0.3522,no
W I & H Thompson,unknown,1866,1,3,26580.0,0.3522,no
Byas & Thomas,unknown,1847,1,3,22631.7,0.3521,no
J & W Nicholson & Co,unknown,1847,1,3,19355.0,0.3521,no
Caldecott & Sons W,unknown,1857,1,3,20072.8,0.3521,no
Cook Son & Co,unknown,1866,1,3,19279.6,0.3521,no
John Currie & Co,unknown,1857,1,3,22240.7,0.3521,no
Joseph Traves & Sons,unknown,1866,1,3,15883.8,0.352,no
"Foster, Porter & Co",unknown,1866,1,3,16621.4,0.352,no
Feo Foss & Co,unknown,1857,1,3,13230.0,0.352,no
Coaeno Gurney Co,unknown,1847,1,1,74914.8,0.352,no
John Young & Co,unknown,1857,1,3,15644.1,0.352,no
Bateman & Co,unknown,1866,1,2,47501.0,0.352,no
Gresend & Co,unknown,1857,1,1,73000.0,0.352,no
Ashton & Co,unknown,1857,1,3,16185.0,0.352,no
J Dowson & Co,unknown,1857,1,3,15454.7,0.352,no
Chs Coles & Son,unknown,1847,1,3,7840.2,0.3519,no
Fincham Matson Potts & Co,unknown,1857,1,3,8899.8,0.3519,no
Brown Davis & Co,unknown,1866,1,3,10364.6,0.3519,no
Price'S Patent Candle Co Limited,unknown,1866,1,3,8353.0,0.3519,no
Rawson Sons & Co,unknown,1857,1,3,11287.2,0.3519,no
Richard Walford & Co,unknown,1866,1,3,10480.1,0.3519,no
Walford Tainen & Co,unknown,1857,1,3,8773.3,0.3519,no
George Goss & Co,unknown,1857,1,3,10327.3,0.3519,no
A Joachim,unknown,1857,1,3,9689.1,0.3519,no
T H Elinenhurst,unknown,1847,1,3,9520.8,0.3519,no
James Coster & Co,unknown,1857,1,3,11132.4,0.3519,no
Jos. Bridgette & Co,unknown,1857,1,3,12554.0,0.3519,no
James Duncan & Co,unknown,1866,1,3,11755.8,0.3519,no
G Brette & Co,unknown,1847,1,3,11908.2,0.3519,no
W Bell & Co,unknown,1847,1,3,9681.3,0.3519,no
James Spicer & Sons,unknown,1866,1,3,12199.1,0.3519,no
Skeen & Leary,unknown,1847,1,3,7879.8,0.3519,no
Edwards Matthie,unknown,1857,1,3,7871.9,0.3519,no
Bischoff & Sons,unknown,1847,1,3,7891.0,0.3519,no
J Wreford & Co,unknown,1847,1,3,5984.2,0.3518,no
N Milcalfe,unknown,1847,1,3,6573.9,0.3518,no
Fras Nalder & Son,unknown,1847,1,3,4120.9,0.3518,no
Dennistoun Cross & Co,unknown,1857,1,2,36836.8,0.3518,no
Rob Brooks,unknown,1847,1,3,6829.9,0.3518,no
Coventry & Son,unknown,1847,1,3,5692.1,0.3518,no
Anderson & Cattley,unknown,1847,1,3,5567.2,0.3518,no
Rouyemont Bros,unknown,1847,1,3,5135.7,0.3518,no
C Armstrong,unknown,1847,1,3,5045.0,0.3518,no
Sanderson & Murray,bill_broker,1866,1,3,4857.6,0.3518,no
Egyptian Tubale Acct,unknown,1857,1,1,63804.5,0.3518,no
Merchant Bank & Co Limited,clearing_or_joint_stock_bank,1866,1,2,37537.1,0.3518,no
W & A Daniels,unknown,1847,1,3,4787.6,0.3518,no
Laurence Phillips & Sons,unknown,1847,1,3,5916.1,0.3518,no
Thomas Moore B L,unknown,1847,1,3,5224.1,0.3518,no
E. B. Meyes,unknown,1866,1,1,60000.0,0.3517,no
A Sellean Son & Co,unknown,1857,1,2,31077.0,0.3517,no
I. K. Gilliat & Co,unknown,1866,1,2,28417.1,0.3517,no
Cj Howell & Son,unknown,1857,1,2,29766.6,0.3517,no
Thomson,unknown,1847,1,2,28301.5,0.3517,no
Imp Merchant Credit Australia,unknown,1866,1,2,25800.0,0.3516,no
P H van Natteu & Co,unknown,1847,1,2,24689.1,0.3516,no
New Zealand Bank,clearing_or_joint_stock_bank,1866,1,2,26860.0,0.3516,no
"Pinto Perez, Ashley & Co",unknown,1866,1,2,17670.0,0.3515,no
Mullens Marshall & Co,unknown,1857,1,1,50000.0,0.3515,no
Lewells + Nick,unknown,1857,1,2,18469.0,0.3515,no
Redfern Alexander & Co,unknown,1866,1,2,21100.9,0.3515,no
Lawes & Co R,unknown,1847,1,2,15808.2,0.3514,no
John Crossley & Sons Limited,unknown,1866,1,2,14355.8,0.3514,no
Edward Erolty & Co,unknown,1857,1,2,12374.3,0.3514,no
Alex & Roberston,unknown,1847,1,2,16223.8,0.3514,no
Taccivace Lucklacke,unknown,1857,1,2,16838.0,0.3514,no
Norman Thorne,unknown,1847,1,2,14373.5,0.3514,no
H + E Muggeridge,unknown,1857,1,2,12504.2,0.3514,no
Hinkpatrick & Belguy,unknown,1866,1,2,13604.2,0.3514,no
Price'S Patent Candle Company Limited,unknown,1857,1,2,12489.9,0.3514,no
Woverhamption & Staffordshire Banking Corporation By ?,unknown,1857,1,1,45756.0,0.3514,no
H D J Hugh & Co,unknown,1847,1,2,16785.0,0.3514,no
Clawfow Coloui & Co,unknown,1857,1,2,15550.2,0.3514,no
B T Laveo & Co,unknown,1857,1,1,45834.4,0.3514,no
Callmann & Son,unknown,1847,1,2,6902.4,0.3513,no
Pollacks Erben,unknown,1847,1,2,10195.6,0.3513,no
Geo: Hitchcock W: H & Co,unknown,1866,1,2,9200.7,0.3513,no
L J Enthovson & Co,unknown,1847,1,2,10768.2,0.3513,no
J Ruth & Co,unknown,1847,1,1,38597.6,0.3513,no
Springfield Son & Co,unknown,1847,1,2,10093.5,0.3513,no
Rowson Norton & Co,unknown,1847,1,2,11118.8,0.3513,no
Paris & Tower,unknown,1847,1,2,11106.9,0.3513,no
George Lawrence,unknown,1857,1,2,11654.1,0.3513,no
Tamvaco M & M,unknown,1847,1,2,6778.0,0.3513,no
John Anderson & Sons,unknown,1857,1,2,11817.6,0.3513,no
Cafsovette Co,unknown,1847,1,2,9861.8,0.3513,no
Foster & Porter,unknown,1866,1,2,11599.1,0.3513,no
Jimder Co,unknown,1847,1,2,10524.1,0.3513,no
Henry Powell & Sons,unknown,1857,1,2,8641.4,0.3513,no
Welch Margeston & Co,unknown,1866,1,2,8675.2,0.3513,no
Hop Planters Joint Stock Company,unknown,1866,1,2,11579.9,0.3513,no
Oastler & Palmer,unknown,1866,1,2,9853.1,0.3513,no
Dimsdale & Co,unknown,1857,1,1,38475.9,0.3513,no
Geo Bretsle & Co,unknown,1857,1,2,11142.4,0.3513,no
T. D. Henry,unknown,1866,1,2,9985.0,0.3513,no
Siondet Mayer & Co,unknown,1857,1,2,10525.1,0.3513,no
W Mc Andrew & Sons,unknown,1857,1,2,7619.7,0.3513,no
Fishers & Robinson,unknown,1857,1,2,9882.2,0.3513,no
Nelson & Lancaster,unknown,1847,1,2,6142.5,0.3512,no
W & J Woodley,unknown,1847,1,2,6529.0,0.3512,no
Kingsford & Lay,unknown,1847,1,2,5735.3,0.3512,no
Rofsetto C & Co,unknown,1847,1,2,5224.1,0.3512,no
Cattley & Stephenson,unknown,1847,1,2,4435.5,0.3512,no
Janner & Ward,unknown,1847,1,2,4614.2,0.3512,no
Walker,unknown,1847,1,2,4329.4,0.3512,no
Cheswright S & Co,unknown,1847,1,2,4637.3,0.3512,no
Colonial Land,foreign_or_colonial_financial,1847,1,2,6460.0,0.3512,no
I.K. Gilliat & Co,unknown,1866,1,1,34348.5,0.3512,no
Barber Bros,unknown,1847,1,2,4972.6,0.3512,no
A Lindgren,unknown,1847,1,2,4354.6,0.3512,no
R Real,unknown,1847,1,2,4517.6,0.3512,no
Duke & Hill,unknown,1847,1,2,5330.4,0.3512,no
Bicken & Co,unknown,1857,1,1,25987.8,0.3511,no
Cocherell Larpeut & Co,unknown,1847,1,1,27999.5,0.3511,no
The Bank Of Egypt,foreign_or_colonial_financial,1866,1,1,27816.0,0.3511,no
Morgan Jnr & Ridge,merchant_bank,1847,1,2,929.1,0.3511,no
Thomas Phehan & Co,unknown,1857,1,1,26663.0,0.3511,no
J L Lensome & Co,unknown,1857,1,1,19390.8,0.351,no
Gauge & Co,unknown,1857,1,1,19287.5,0.351,no
Same Hawkey & Co,unknown,1866,1,1,20113.2,0.351,no
James Bult Son & Co,unknown,1857,1,1,22803.6,0.351,no
Roger Cunliffe Son Co,unknown,1857,1,1,20000.0,0.351,no
A Lillen Son & Co,unknown,1857,1,1,22361.4,0.351,no
Atfu Heseundes & Co,unknown,1857,1,1,24414.1,0.351,no
Semme & Co J L,unknown,1847,1,1,16378.9,0.3509,no
Arch & Hastic,unknown,1847,1,1,18456.0,0.3509,no
A Robertson,unknown,1847,1,1,16608.0,0.3509,no
Caraun Co,unknown,1847,1,1,18699.2,0.3509,no
Ja Bull Sons Co,unknown,1857,1,1,8956.7,0.3508,no
R J Anderson,unknown,1847,1,1,9227.4,0.3508,no
Robert Badger,unknown,1857,1,1,15000.0,0.3508,no
Crewett & Co,unknown,1847,1,1,10120.4,0.3508,no
Richard Little Co,unknown,1847,1,1,12986.9,0.3508,no
Gowen Neph Co,unknown,1847,1,1,9691.9,0.3508,no
W + A Riand & Co,unknown,1857,1,1,9450.0,0.3508,no
Crekerell & Co,unknown,1847,1,1,11595.7,0.3508,no
Rrid Jimmy Co,unknown,1847,1,1,9434.9,0.3508,no
Jas Hill & Sons,unknown,1847,1,1,10916.1,0.3508,no
Shern Bros,unknown,1847,1,1,9696.6,0.3508,no
R Eghntin Co,unknown,1847,1,1,9403.1,0.3508,no
T. Courtauld & Co,unknown,1866,1,1,14527.7,0.3508,no
Dienis B & Co,unknown,1847,1,1,13440.7,0.3508,no
Allen,unknown,1847,1,1,9844.6,0.3508,no
E Lohrab,unknown,1847,1,1,9600.0,0.3508,no
D Coutauld & Co,unknown,1847,1,1,12686.2,0.3508,no
Junnes Coster Co,unknown,1847,1,1,9609.4,0.3508,no
Afillem Son Co,unknown,1847,1,1,11704.9,0.3508,no
Alexiadi Delta & Co,unknown,1857,1,1,8984.7,0.3508,no
M C Calmont Bros & Co,unknown,1847,1,1,11362.9,0.3508,no
Momson D L,unknown,1847,1,1,9450.6,0.3508,no
"Thomas, B L",unknown,1847,1,1,11171.9,0.3508,no
M Salmon B & Co,unknown,1847,1,1,11090.1,0.3508,no
The Egyptian Tribute,unknown,1866,1,1,13663.8,0.3508,no
Gilliat & Co,unknown,1847,1,1,10363.5,0.3508,no
Reed Georery Co,unknown,1847,1,1,14213.7,0.3508,no
"H. Rogess, Sons & Co",unknown,1866,1,1,9914.2,0.3508,no
GB Nettle & Co,unknown,1847,1,1,9251.4,0.3508,no
T Prehn & Co,unknown,1857,1,1,13950.0,0.3508,no
C J Alambro & Son,unknown,1847,1,1,11711.6,0.3508,no
A Hastie,unknown,1847,1,1,12690.0,0.3508,no
James Still & Sons,unknown,1866,1,1,14653.7,0.3508,no
Edward Liddell Manager Of The Sheffield Union Banking Company,unknown,1857,1,1,13904.8,0.3508,no
J scheider & Co,unknown,1847,1,1,9746.9,0.3508,no
Melpuish G & Co,unknown,1847,1,1,11871.1,0.3508,no
Jt Docoson & Co,unknown,1857,1,1,13356.6,0.3508,no
"Catesworth, P Co",unknown,1847,1,1,9682.0,0.3508,no
Cotesworth & Powell,unknown,1866,1,1,14800.0,0.3508,no
P & C van Notten & Co,unknown,1847,1,1,10071.8,0.3508,no
Gaschen,unknown,1847,1,1,12338.4,0.3508,no
Chas Coles Jnr,unknown,1847,1,1,4787.4,0.3507,no
Pims Willyarm & Co,unknown,1847,1,1,8001.3,0.3507,no
Thompson & Forman,unknown,1847,1,1,7441.3,0.3507,no
Fledstones & Co,unknown,1847,1,1,7060.1,0.3507,no
Taster Oortens & Co,unknown,1857,1,1,7731.0,0.3507,no
A D J Blynt & Co,unknown,1847,1,1,7600.0,0.3507,no
Apactali & Co,unknown,1847,1,1,7628.2,0.3507,no
Elvian & Co,unknown,1847,1,1,8275.7,0.3507,no
Lydle Bros Co,unknown,1847,1,1,6000.8,0.3507,no
I. W. Cater Sons & Co,unknown,1866,1,1,8750.5,0.3507,no
Matthew Parker & Co,unknown,1847,1,1,6028.7,0.3507,no
Elligan & Co,unknown,1847,1,1,8648.6,0.3507,no
Mortoy S Co,unknown,1847,1,1,6017.1,0.3507,no
H+J Johnston & Co,unknown,1847,1,1,8677.4,0.3507,no
Edward & Megan Co,unknown,1847,1,1,6288.7,0.3507,no
J Butt Son & Co,unknown,1857,1,1,8753.5,0.3507,no
D Dodree & Son,unknown,1847,1,1,8230.0,0.3507,no
Luckensteen Son & Co,unknown,1847,1,1,6045.0,0.3507,no
Richards L & Co,unknown,1847,1,1,6735.5,0.3507,no
S Dobree & Sons,unknown,1847,1,1,6388.8,0.3507,no
Ranson Co,unknown,1847,1,1,4750.0,0.3507,no
Rob & Lowe & Co,unknown,1847,1,1,5014.2,0.3507,no
L J Entheren & Co,unknown,1847,1,1,5145.2,0.3507,no
Priget & Co,unknown,1847,1,1,6843.8,0.3507,no
Rio & Co,unknown,1847,1,1,7391.0,0.3507,no
Bence B & Co,unknown,1847,1,1,6734.2,0.3507,no
Reed Groery Co,unknown,1847,1,1,8750.4,0.3507,no
R Busch & Co,unknown,1847,1,1,5333.6,0.3507,no
J Thomson T Brown & Co,unknown,1847,1,1,5323.9,0.3507,no
John Young Ehlers & Co,unknown,1866,1,1,8460.0,0.3507,no
Pusch & Co,unknown,1847,1,1,5451.3,0.3507,no
A Alexander & Co,unknown,1847,1,1,8392.3,0.3507,no
Brochellank & Ralt,unknown,1847,1,1,4981.1,0.3507,no
Jonules & Co,unknown,1847,1,1,5622.7,0.3507,no
Randon H Co,unknown,1847,1,1,6580.0,0.3507,no
C Coles Jnr,unknown,1847,1,1,4172.4,0.3506,no
Alexs & Bell,unknown,1847,1,1,4381.1,0.3506,no
A S Lavant & W,unknown,1847,1,1,4642.8,0.3506,no
Edwin Morgan,merchant_bank,1847,1,1,95.5,0.3506,no
Lloyd Morgan,merchant_bank,1847,1,1,0.0,0.3506,no
D Mattos & De Leon,unknown,1847,1,1,4281.6,0.3506,no
Pidgeon H A S & H,unknown,1847,1,1,4050.0,0.3506,no
Lon S.Western Bk,merchant_bank,1914,1,45,1073072.5,0.3462,no
N. M. Rothschild & Sons,merchant_bank,1914,1,12,1237482.4,0.3307,no
Kleinwort Sons & Co,merchant_bank,1914,1,33,556727.5,0.3294,no
J.H.Schroder & Co,merchant_bank,1914,1,10,1031112.9,0.3256,no
Baring Bros & Co Ld,merchant_bank,1914,1,7,864269.1,0.3207,no
Brightwen Gillet & Co,bill_broker,1866,1,9,232254.0,0.3096,no
"Drake, Kleinwort & Cohen",merchant_bank,1866,1,7,238208.4,0.3086,no
Brown Shipley & Co,merchant_bank,1914,1,7,205353.9,0.3079,no
Credit Lyonnais Per Glyn Mills Currie,merchant_bank,1914,1,1,281915.3,0.306,no
Frederick Huth & Co,merchant_bank,1866,1,2,203778.0,0.3051,no
S.N.Schroder & Co,merchant_bank,1914,1,1,111542.3,0.3027,no
Kleinwort & Cohen,merchant_bank,1857,1,3,33930.9,0.3024,no
"Sanderson Frys, Rigge & Co",bill_broker,1866,1,3,8969.9,0.3019,no
Baring Brothers & Co,merchant_bank,1857,1,1,59000.0,0.3017,no
Baring & Co,merchant_bank,1857,1,1,60000.0,0.3017,no
H. T Morgan & Co,merchant_bank,1866,1,1,53894.7,0.3016,no
P. J. Morgan & Co,merchant_bank,1866,1,1,30825.0,0.3012,no
Lloyd'S Bank Ltd,clearing_or_joint_stock_bank,1914,1,73,4051027.0,0.2696,no
Union Smiths Bk Ho,unknown,1914,1,107,2573360.0,0.2603,no
Union Smiths Bank Ld Lom St,clearing_or_joint_stock_bank,1914,1,147,1195134.2,0.2563,no
Greenwood & Co,unknown,"1857,1866",2,9,8991.9,0.2553,no
Clement Dresser,unknown,"1857,1866",2,8,10290.8,0.2547,no
Luckie Brothers & Co,unknown,"1857,1866",2,8,3811.9,0.2546,no
Gorton & Son,unknown,"1857,1866",2,7,9891.4,0.2542,no
Browning Wood & Fox,unknown,"1857,1866",2,7,6577.5,0.2541,no
Richard Johnson & Co,unknown,"1847,1866",2,7,4131.5,0.254,no
W Howell & Co,unknown,"1847,1857",2,6,2041.6,0.2534,no
John Sharp,unknown,"1847,1857",2,5,1716.3,0.2529,no
Dawson Campbell & Co,unknown,"1847,1857",2,5,5411.2,0.2529,no
J J Buttress,unknown,"1847,1857",2,5,1332.2,0.2528,no
Samuel Sadler,unknown,"1857,1866",2,4,6211.6,0.2524,no
A F Schleicher,unknown,"1847,1857",2,4,4795.6,0.2524,no
Thomas Lee,unknown,"1847,1857",2,4,841.4,0.2523,no
Puzey Pallett & Co,unknown,"1857,1866",2,4,4393.1,0.2523,no
James Anderson & Co,unknown,"1857,1866",2,4,2815.0,0.2523,no
John Getting,unknown,"1847,1866",2,4,364.9,0.2523,no
Allen & Solly,unknown,"1847,1857",2,4,4535.8,0.2523,no
Young Harrison & Bevan,unknown,"1857,1866",2,3,6039.4,0.2518,no
Moses Solomon,unknown,"1857,1866",2,3,1773.5,0.2517,no
A. S. Petrie & Co,unknown,"1857,1866",2,2,7877.3,0.2513,no
Puget Bainbridges & Co,unknown,"1857,1866",2,2,9523.4,0.2513,no
Robert Bentley & Sons,unknown,"1857,1866",2,2,8404.7,0.2513,no
Lupton Hooton & Co,unknown,"1847,1857",2,2,4549.4,0.2512,no
Thomas Stephings,unknown,"1857,1866",2,2,282.0,0.2511,no
National Provincial Bk Of England Ltd,clearing_or_joint_stock_bank,1914,1,58,3309195.8,0.2468,no
Lon Jt Stock Bk,unknown,1914,1,48,2215691.6,0.22,no
Natl Bk Of India Ltd,unknown,1914,1,34,2594595.3,0.2194,no
Parr'S Bank Ltd,clearing_or_joint_stock_bank,1914,1,90,835460.4,0.2171,no
London & River Plate Bank Ltd,clearing_or_joint_stock_bank,1914,1,16,2805472.5,0.2133,no
John Gladding & Son,unknown,1866,1,18,5099.4,0.2103,no
Walter Howell & Co,unknown,1847,1,18,3930.1,0.2103,no
Burdon & Gray,unknown,1847,1,17,2119.3,0.2097,no
Arluthrot Ewart & Co,unknown,1914,1,15,24811.1,0.209,no
W Wansey,unknown,1847,1,15,2937.7,0.2086,no
The Bombay Co Ltd,unknown,1914,1,14,28800.9,0.2085,no
T W Meade,unknown,1847,1,14,1714.2,0.208,no
Brien & Parker,unknown,1857,1,13,2365.6,0.2074,no
Frederick Sage,unknown,1866,1,12,745.6,0.2068,no
M Kinsey,unknown,1847,1,11,3175.8,0.2063,no
Colonial Bank,foreign_or_colonial_financial,"1866,1914",2,4,209025.7,0.2063,yes
Pocock & Sons,unknown,1847,1,11,428.2,0.2062,no
Josh Prestwich & S,unknown,1847,1,9,3333.7,0.2052,no
J Jacobson & Co,unknown,1857,1,9,4542.5,0.2052,no
E & A Prior,unknown,1857,1,9,6475.9,0.2052,no
Rutherford Drury & Co,unknown,1866,1,9,7185.8,0.2052,no
Hall & Nuttall,unknown,1866,1,9,3410.0,0.2052,no
C Henry,unknown,1857,1,9,7528.1,0.2052,no
T. I. & T. Powell,unknown,1914,1,9,5682.9,0.2052,no
Lister & Biggs,unknown,1866,1,9,3148.0,0.2052,no
W. Morhimore,unknown,1866,1,8,6445.5,0.2047,no
H. Clarkson & Co,unknown,1866,1,8,7667.5,0.2047,no
John Boulcott & Co,unknown,1847,1,8,3298.3,0.2046,no
E J Cole,unknown,1857,1,8,1814.9,0.2046,no
E. Tetley & Son,unknown,1866,1,8,2700.9,0.2046,no
Northumberland & Durham Coal,unknown,1866,1,8,4907.0,0.2046,no
E & G Hibbert,unknown,1847,1,8,2204.9,0.2046,no
Pritchett & Sons,unknown,1866,1,8,5356.5,0.2046,no
Comptoir National D'Escompte De Paris,foreign_or_colonial_financial,1914,1,31,1901110.5,0.2043,no
Somervell & Co,unknown,1866,1,7,5758.3,0.2041,no
F Ede Son & Noyes,unknown,1866,1,7,6952.3,0.2041,no
Isaac Jacobson,unknown,1847,1,7,2632.8,0.204,no
W J Fraser,unknown,1847,1,7,3059.6,0.204,no
John Brooks B W,unknown,1847,1,7,874.2,0.204,no
W B Gurney,unknown,1847,1,7,968.5,0.204,no
J Lefever,unknown,1847,1,7,1854.2,0.204,no
Mason & Taylor,unknown,1847,1,7,3050.1,0.204,no
Rogers Bros,unknown,1847,1,7,2657.2,0.204,no
George Routledge & Son,unknown,1866,1,7,3265.9,0.204,no
Adamson & Ronaldson,unknown,1866,1,7,3492.0,0.204,no
Hoston Megaw Co Ltd,unknown,1914,1,6,23022.3,0.2038,no
J. Defries & Sons,unknown,1866,1,6,3069.8,0.2035,no
L Goddard Finch & Co,unknown,1857,1,6,3247.8,0.2035,no
E Bernouilli,unknown,1857,1,6,4844.2,0.2035,no
Thomas Seamer & Son,unknown,1866,1,6,3384.2,0.2035,no
"Wilson, Rose, Graham & Co",unknown,1857,1,6,6958.9,0.2035,no
Prestwich J & Co,unknown,1847,1,6,2669.5,0.2035,no
Mac Intyre Buchanan & Co,unknown,1857,1,6,4395.4,0.2035,no
Charles Rayne,unknown,1866,1,6,5425.7,0.2035,no
Samuel Magnus,unknown,1866,1,6,3565.5,0.2035,no
Palmer & Co,unknown,1857,1,6,6738.4,0.2035,no
John Hugher & Co,unknown,1866,1,6,3504.1,0.2035,no
Teede & Bishop,unknown,1866,1,6,2817.9,0.2035,no
J B Shuttleworth & Co,unknown,1847,1,6,0.0,0.2034,no
F Tuke,unknown,1847,1,6,1959.9,0.2034,no
Jas Simott,unknown,1847,1,6,0.0,0.2034,no
J Clark B S,unknown,1847,1,6,2209.2,0.2034,no
N Nansey,unknown,1847,1,6,1215.6,0.2034,no
John Simmonds,unknown,1866,1,6,2004.1,0.2034,no
George Peash,unknown,1857,1,6,1344.4,0.2034,no
Barnett & Kimpton,unknown,1847,1,6,1913.3,0.2034,no
Josh Angus,unknown,1847,1,6,1734.2,0.2034,no
Arthur & Co Ltd,unknown,1914,1,5,18969.7,0.2032,no
Hindley Co,unknown,1914,1,5,19230.8,0.2032,no
Tw Bradley & Co,unknown,1857,1,5,5983.7,0.203,no
Borrowman Phillipps & Co,unknown,1866,1,5,6436.0,0.203,no
Thomas Lowndes & Co,unknown,1857,1,5,7360.2,0.203,no
"Mac Intyre, Buchanan & Co",unknown,1866,1,5,5942.4,0.203,no
Clairmonte Brothers,unknown,1857,1,5,5752.0,0.203,no
James Shears & Sons,unknown,1857,1,5,6734.4,0.203,no
Rees Glammong & Co,unknown,1866,1,5,648.1,0.2029,no
H Bull Son & Co,unknown,1847,1,5,2796.2,0.2029,no
J Foot & Son,unknown,1857,1,5,4829.3,0.2029,no
Gunning & Duarrell,unknown,1847,1,5,1807.9,0.2029,no
Swindell & Bankhead,unknown,1857,1,5,3190.7,0.2029,no
John Walker,unknown,1857,1,5,1149.3,0.2029,no
Hawes Stanbridge & Hedley,unknown,1857,1,5,4043.0,0.2029,no
A Webber & Co,unknown,1857,1,5,4661.9,0.2029,no
S Swownell & Son,unknown,1857,1,5,3442.8,0.2029,no
T De La Rue & Co,unknown,1847,1,5,3531.6,0.2029,no
Anderson & Newton,unknown,1847,1,5,1712.7,0.2029,no
E. & I. Vickers & Co,unknown,1857,1,5,2850.7,0.2029,no
D H Bushell,unknown,1857,1,5,607.2,0.2029,no
Phillips Faithfull & Co,unknown,1857,1,5,5320.1,0.2029,no
R. Johnson & Co,unknown,1866,1,5,2588.7,0.2029,no
Josh Reid,unknown,1847,1,5,2369.8,0.2029,no
Jno Udall,unknown,1847,1,5,1267.2,0.2029,no
Jas Brooker,unknown,1847,1,5,1503.9,0.2029,no
James Davidge,unknown,1857,1,5,806.5,0.2029,no
John Barelli & Co,unknown,1866,1,5,4106.6,0.2029,no
C H Olivier,unknown,1857,1,5,3744.0,0.2029,no
Norton Megaw & Co Ltd,unknown,1914,1,4,27476.3,0.2028,no
Frederick Dunhill,unknown,1866,1,5,424.2,0.2028,no
Richard Mitchell,unknown,1866,1,5,276.4,0.2028,no
Henderson & Constable,unknown,1857,1,4,6066.8,0.2024,no
Allen Solly & Co,unknown,1866,1,4,6651.4,0.2024,no
Wilson & Bellenger,unknown,1866,1,4,6729.4,0.2024,no
C C Williams,unknown,1857,1,4,6615.0,0.2024,no
J. H. Rudall,unknown,1857,1,4,5875.7,0.2024,no
Henry Joachim,unknown,1857,1,4,6644.9,0.2024,no
Grissell Brothers & Co,unknown,1857,1,4,5885.0,0.2024,no
J & W J Courtenay,unknown,1857,1,4,6350.7,0.2024,no
Cash + Ledgard,unknown,1857,1,4,7349.5,0.2024,no
S. Northcote & Co,unknown,1866,1,4,4819.7,0.2024,no
R Evans & Co,unknown,1857,1,4,7074.3,0.2024,no
Richard Evans & Co,unknown,1866,1,4,6149.8,0.2024,no
W Cann,unknown,1847,1,4,2213.6,0.2023,no
G. Houghton & Sons,unknown,1857,1,4,1471.8,0.2023,no
"Wilson, Seward & Swale",unknown,1857,1,4,4518.0,0.2023,no
H J Lias & Son,unknown,1857,1,4,1075.4,0.2023,no
C Sparks,unknown,1847,1,4,3527.2,0.2023,no
T Hodgkinson & Co,unknown,1857,1,4,1629.2,0.2023,no
Balfour Joseph,unknown,1847,1,4,3998.9,0.2023,no
E Girdham & Co,unknown,1866,1,4,3086.0,0.2023,no
James Mills,industrial_or_commercial,1866,1,4,2199.8,0.2023,no
G E Mackieth,unknown,1857,1,4,383.6,0.2023,no
Gillies & Horne,unknown,1847,1,4,1917.3,0.2023,no
C. H. Noble,unknown,1866,1,4,3846.2,0.2023,no
Jacobson,unknown,1847,1,4,1667.3,0.2023,no
David Low,unknown,1847,1,4,911.5,0.2023,no
H Davies,unknown,1857,1,4,3703.9,0.2023,no
Jno Wood C S,unknown,1847,1,4,676.1,0.2023,no
N Nicholls & Sons,unknown,1857,1,4,2359.8,0.2023,no
B. Tucker & Co,unknown,1866,1,4,4112.5,0.2023,no
Sharpe H & D,unknown,1847,1,4,1376.8,0.2023,no
Howe & Sons,unknown,1847,1,4,3790.0,0.2023,no
J W Liggins,unknown,1847,1,4,2801.9,0.2023,no
J L Baker,unknown,1847,1,4,956.4,0.2023,no
Learidge Smith,unknown,1847,1,4,3322.9,0.2023,no
