series,date,nearest_crisis,days_to_crisis_peak
bank_rate_daily,1900-06-13,1890,3497
bank_rate_daily,1900-07-18,1890,3532
bank_rate_daily,1901-01-04,1890,3702
bank_rate_daily,1901-02-18,1890,3747
bank_rate_daily,1901-06-08,1890,3857
bank_rate_daily,1901-10-21,1890,3992
bank_rate_daily,1902-02-03,1890,4097
bank_rate_daily,1902-10-01,1914,4327
bank_rate_daily,1903-05-19,1914,4097
bank_rate_daily,1903-06-18,1914,4067
bank_rate_daily,1903-09-01,1914,3992
bank_rate_daily,1904-04-18,1914,3762
bank_rate_daily,1905-03-09,1914,3437
bank_rate_daily,1905-09-05,1914,3257
bank_rate_daily,1905-09-25,1914,3237
bank_rate_daily,1906-06-22,1914,2967
bank_rate_daily,1906-09-10,1914,2887
bank_rate_daily,1906-10-10,1914,2857
bank_rate_daily,1906-10-20,1914,2847
bank_rate_daily,1907-01-18,1914,2757
bank_rate_daily,1907-04-23,1914,2662
bank_rate_daily,1907-08-16,1914,2547
bank_rate_daily,1907-10-30,1914,2472
bank_rate_daily,1907-11-04,1914,2467
bank_rate_daily,1908-01-03,1914,2407
bank_rate_daily,1908-01-23,1914,2387
bank_rate_daily,1908-03-18,1914,2332
bank_rate_daily,1908-05-27,1914,2262
bank_rate_daily,1909-01-12,1914,2032
bank_rate_daily,1909-04-02,1914,1952
bank_rate_daily,1909-10-09,1914,1762
bank_rate_daily,1909-10-19,1914,1752
bank_rate_daily,1909-12-08,1914,1702
bank_rate_daily,1910-01-07,1914,1672
bank_rate_daily,1910-02-06,1914,1642
bank_rate_daily,1910-03-18,1914,1602
bank_rate_daily,1910-06-01,1914,1527
bank_rate_daily,1910-09-29,1914,1407
bank_rate_daily,1910-10-19,1914,1387
bank_rate_daily,1910-11-28,1914,1347
bank_rate_daily,1911-01-27,1914,1287
bank_rate_daily,1911-03-08,1914,1247
bank_rate_daily,1911-09-19,1914,1052
bank_rate_daily,1912-02-06,1914,912
bank_rate_daily,1912-05-06,1914,822
bank_rate_daily,1912-08-29,1914,707
bank_rate_daily,1912-10-18,1914,657
bank_rate_daily,1913-04-16,1914,477
bank_rate_daily,1913-09-28,1914,312
bank_rate_daily,1914-01-06,1914,212
bank_rate_daily,1914-01-26,1914,192
bank_rate_daily,1914-07-30,1914,7
bank_rate_daily,1914-08-04,1914,2
bank_rate_daily,1916-07-14,1914,708
bank_rate_daily,1916-12-31,1914,878
crisis_lending_weekly,1889-02-06,1890,647
crisis_lending_weekly,1890-10-29,1890,17
crisis_lending_weekly,1894-04-11,1890,1243
crisis_lending_weekly,1897-12-01,1890,2573
crisis_lending_weekly,1908-04-08,1914,2311
crisis_lending_weekly,1914-08-01,1914,5
crisis_lending_weekly,1916-12-27,1914,874
reserve_ratio_weekly,1855-02-03,1857,1013
reserve_ratio_weekly,1855-03-10,1857,978
reserve_ratio_weekly,1855-04-14,1857,943
reserve_ratio_weekly,1855-05-19,1857,908
reserve_ratio_weekly,1855-06-23,1857,873
reserve_ratio_weekly,1855-07-28,1857,838
reserve_ratio_weekly,1855-09-01,1857,803
reserve_ratio_weekly,1855-10-06,1857,768
reserve_ratio_weekly,1855-11-10,1857,733
reserve_ratio_weekly,1855-12-15,1857,698
reserve_ratio_weekly,1856-01-19,1857,663
reserve_ratio_weekly,1856-03-29,1857,593
reserve_ratio_weekly,1856-05-03,1857,558
reserve_ratio_weekly,1856-06-07,1857,523
reserve_ratio_weekly,1856-07-12,1857,488
reserve_ratio_weekly,1856-08-16,1857,453
reserve_ratio_weekly,1856-09-20,1857,418
reserve_ratio_weekly,1856-10-25,1857,383
reserve_ratio_weekly,1856-11-29,1857,348
reserve_ratio_weekly,1857-01-03,1857,313
reserve_ratio_weekly,1857-02-07,1857,278
reserve_ratio_weekly,1857-03-14,1857,243
reserve_ratio_weekly,1857-04-18,1857,208
reserve_ratio_weekly,1857-05-23,1857,173
reserve_ratio_weekly,1857-06-27,1857,138
reserve_ratio_weekly,1857-08-01,1857,103
reserve_ratio_weekly,1857-09-05,1857,68
reserve_ratio_weekly,1857-10-10,1857,33
reserve_ratio_weekly,1857-11-11,1857,1
reserve_ratio_weekly,1857-12-16,1857,34
reserve_ratio_weekly,1858-01-20,1857,69
reserve_ratio_weekly,1858-02-24,1857,104
reserve_ratio_weekly,1858-05-05,1857,174
reserve_ratio_weekly,1858-06-09,1857,209
reserve_ratio_weekly,1858-07-14,1857,244
reserve_ratio_weekly,1858-08-18,1857,279
reserve_ratio_weekly,1858-09-22,1857,314
reserve_ratio_weekly,1858-10-27,1857,349
reserve_ratio_weekly,1858-12-01,1857,384
reserve_ratio_weekly,1859-01-05,1857,419
reserve_ratio_weekly,1859-02-09,1857,454
reserve_ratio_weekly,1859-03-16,1857,489
reserve_ratio_weekly,1859-04-20,1857,524
reserve_ratio_weekly,1859-05-25,1857,559
reserve_ratio_weekly,1859-08-03,1857,629
reserve_ratio_weekly,1859-09-07,1857,664
reserve_ratio_weekly,1859-10-12,1857,699
reserve_ratio_weekly,1859-11-16,1857,734
reserve_ratio_weekly,1859-12-21,1857,769
reserve_ratio_weekly,1860-01-25,1857,804
reserve_ratio_weekly,1860-02-29,1857,839
reserve_ratio_weekly,1860-04-04,1857,874
reserve_ratio_weekly,1860-05-09,1857,909
reserve_ratio_weekly,1860-07-18,1857,979
reserve_ratio_weekly,1860-08-22,1857,1014
reserve_ratio_weekly,1860-09-26,1857,1049
reserve_ratio_weekly,1860-10-31,1857,1084
reserve_ratio_weekly,1860-12-05,1857,1119
reserve_ratio_weekly,1861-01-09,1857,1154
reserve_ratio_weekly,1861-02-13,1857,1189
reserve_ratio_weekly,1861-04-24,1857,1259
reserve_ratio_weekly,1861-08-07,1857,1364
reserve_ratio_weekly,1861-09-11,1857,1399
reserve_ratio_weekly,1861-11-20,1857,1469
reserve_ratio_weekly,1861-12-25,1857,1504
reserve_ratio_weekly,1862-01-29,1857,1539
reserve_ratio_weekly,1862-05-14,1866,1458
reserve_ratio_weekly,1862-06-18,1866,1423
reserve_ratio_weekly,1862-07-23,1866,1388
reserve_ratio_weekly,1862-10-01,1866,1318
reserve_ratio_weekly,1862-11-05,1866,1283
reserve_ratio_weekly,1862-12-10,1866,1248
reserve_ratio_weekly,1863-01-14,1866,1213
reserve_ratio_weekly,1863-02-18,1866,1178
reserve_ratio_weekly,1863-03-25,1866,1143
reserve_ratio_weekly,1863-04-29,1866,1108
reserve_ratio_weekly,1863-06-03,1866,1073
reserve_ratio_weekly,1863-07-08,1866,1038
reserve_ratio_weekly,1863-08-12,1866,1003
reserve_ratio_weekly,1863-09-16,1866,968
reserve_ratio_weekly,1863-10-21,1866,933
reserve_ratio_weekly,1863-11-25,1866,898
reserve_ratio_weekly,1863-12-30,1866,863
reserve_ratio_weekly,1864-02-03,1866,828
reserve_ratio_weekly,1864-03-09,1866,793
reserve_ratio_weekly,1864-04-13,1866,758
reserve_ratio_weekly,1864-05-18,1866,723
reserve_ratio_weekly,1864-06-22,1866,688
reserve_ratio_weekly,1864-08-31,1866,618
reserve_ratio_weekly,1864-10-05,1866,583
reserve_ratio_weekly,1864-11-09,1866,548
reserve_ratio_weekly,1864-12-14,1866,513
reserve_ratio_weekly,1865-01-18,1866,478
reserve_ratio_weekly,1865-03-29,1866,408
reserve_ratio_weekly,1865-05-03,1866,373
reserve_ratio_weekly,1865-06-07,1866,338
reserve_ratio_weekly,1865-07-12,1866,303
reserve_ratio_weekly,1865-08-16,1866,268
reserve_ratio_weekly,1865-09-20,1866,233
reserve_ratio_weekly,1865-10-25,1866,198
reserve_ratio_weekly,1865-11-29,1866,163
reserve_ratio_weekly,1866-01-03,1866,128
reserve_ratio_weekly,1866-02-07,1866,93
reserve_ratio_weekly,1866-03-14,1866,58
reserve_ratio_weekly,1866-04-18,1866,23
reserve_ratio_weekly,1866-05-23,1866,12
reserve_ratio_weekly,1866-06-27,1866,47
reserve_ratio_weekly,1866-08-01,1866,82
reserve_ratio_weekly,1866-09-05,1866,117
reserve_ratio_weekly,1866-10-10,1866,152
reserve_ratio_weekly,1866-11-14,1866,187
reserve_ratio_weekly,1866-12-19,1866,222
reserve_ratio_weekly,1867-01-23,1866,257
reserve_ratio_weekly,1867-04-03,1866,327
reserve_ratio_weekly,1867-05-08,1866,362
reserve_ratio_weekly,1867-06-12,1866,397
reserve_ratio_weekly,1867-07-17,1866,432
reserve_ratio_weekly,1867-08-21,1866,467
reserve_ratio_weekly,1867-09-25,1866,502
reserve_ratio_weekly,1867-12-04,1866,572
reserve_ratio_weekly,1868-01-08,1866,607
reserve_ratio_weekly,1868-03-18,1866,677
reserve_ratio_weekly,1868-04-22,1866,712
reserve_ratio_weekly,1868-05-27,1866,747
reserve_ratio_weekly,1868-08-05,1866,817
reserve_ratio_weekly,1868-09-09,1866,852
reserve_ratio_weekly,1868-10-14,1866,887
reserve_ratio_weekly,1868-11-18,1866,922
reserve_ratio_weekly,1868-12-23,1866,957
reserve_ratio_weekly,1869-01-27,1866,992
reserve_ratio_weekly,1869-03-03,1866,1027
reserve_ratio_weekly,1869-04-07,1866,1062
reserve_ratio_weekly,1869-05-12,1866,1097
reserve_ratio_weekly,1869-06-16,1866,1132
reserve_ratio_weekly,1869-07-21,1866,1167
