counterparty_clean,actor_category,class_confidence,n_transactions,total_amount,crises
Natl Bk Of Africa Ltd,unknown,0.2,1,268612.5,1914
Coates & Co,unknown,0.2,65,264642.72,1847
G&R Dewhurst Ltd,unknown,0.2,8,263036.111875,1914
"Finlay, Hodgeson & Co",merchant_bank,0.85,13,260994.94,1866
Giles Loder,unknown,0.2,20,260495.83,"1847,1866"
Kraeutler & Mieville,unknown,0.2,13,259095.74000000002,1857
Barnett & Co,unknown,0.2,6,258606.90000000002,1866
Robert Lawes & Co,unknown,0.2,5,257800.0,1866
Ellice Kinnear & Co,unknown,0.2,27,257169.4025,1847
Robert Smith & Co,unknown,0.2,47,257094.51,1866
The City Bank,clearing_or_joint_stock_bank,0.7,2,255049.2,1866
Mccalmont Brothers & Co,unknown,0.2,8,243828.72,1857
Direction Der Discounts,unknown,0.2,1,243103.09999999998,1914
The London County Bank,clearing_or_joint_stock_bank,0.4,1,239167.80000000002,1866
"Drake, Kleinwort & Cohen",merchant_bank,0.85,7,238208.40000000002,1866
Konig Bros,unknown,0.2,3,233761.9,1914
P Grenfell & Sons,unknown,0.2,35,233664.16999999998,"1847,1857,1866"
Colonial Company Limited,foreign_or_colonial_financial,0.7,8,232767.33,1866
Gledstanes & Co,unknown,0.2,27,232389.1125,"1847,1857"
H Castellain Sons & Co,unknown,0.2,47,232284.28,1847
Brightwen Gillet & Co,bill_broker,0.85,9,232254.0,1866
Cook Sons & Co,unknown,0.2,60,225741.4625,"1847,1857"
London River Place Bank Limited,clearing_or_joint_stock_bank,0.7,12,224653.41999999998,1866
Boutcher Mortimore & Co,unknown,0.2,49,223673.8225,"1847,1857,1866"
Bordier Fabris & Co,unknown,0.2,47,223528.705,"1847,1857"
T & W King,unknown,0.2,17,223301.97999999998,1847
Hyde Hodge & Co,unknown,0.2,38,222453.885,1857
S. Oppenheim & Sons,unknown,0.2,10,220475.7,1866
Fruhling & Gaschew,merchant_bank,0.85,15,219600.3675,1847
Suse + Sibeth,unknown,0.2,26,219100.66,1857
Magniac J & Co,unknown,0.2,9,216940.16,1847
McCalmont Bros & Co,unknown,0.2,24,215990.29499999998,1847
Williams Deacon'S Bank Ltd,clearing_or_joint_stock_bank,0.7,10,213978.0,1914
G Loder,unknown,0.2,4,209526.22999999998,1857
Allen & Anderson,unknown,0.2,25,209208.1375,1847
Colonial Bank,foreign_or_colonial_financial,0.7,4,209025.7,"1866,1914"
Brown Shipley & Co,merchant_bank,0.85,7,205353.89999999997,1914
Frederick Huth & Co,merchant_bank,0.85,2,203778.0,1866
Bank Of Wales,clearing_or_joint_stock_bank,0.4,2,201077.94999999998,1914
