counterparty_clean,actor_category,class_confidence,n_transactions,total_amount,crises
X. Balli,unknown,0.2,1,14961.6,1866
Hyde & Hodge & Co,unknown,0.2,11,14903.1525,1847
Rowlandson & A,unknown,0.2,29,14877.092499999999,1847
Cotesworth & Powell,unknown,0.2,1,14800.0,1866
C Stainbank & Son,unknown,0.2,10,14775.5425,1847
W. Spotten & Co,unknown,0.2,10,14756.18,1866
J Walker W W,unknown,0.2,15,14747.901399999999,1847
James Still & Sons,unknown,0.2,1,14653.66,1866
George Smeed,unknown,0.2,6,14646.285,1866
Straham & Co,unknown,0.2,1,14597.91,1847
Vagliano Brothers,unknown,0.2,4,14574.999999999998,1866
T. Courtauld & Co,unknown,0.2,1,14527.720000000001,1866
Commonwealth Bk Of Australia,unknown,0.2,1,14382.05,1914
Norman Thorne,unknown,0.2,2,14373.5,1847
John Crossley & Sons Limited,unknown,0.2,2,14355.75,1866
F Le Breton,unknown,0.2,1,14292.0,1857
W. Vaughan & Co,unknown,0.2,8,14278.9,1866
Andrew Jackson & Co,unknown,0.2,36,14270.625,"1847,1866"
J Deacon & Sons,unknown,0.2,11,14233.945,1847
Reed Georery Co,unknown,0.2,1,14213.744999999999,1847
Denham Smart & Co,unknown,0.2,15,14199.7675,1847
Harryman & White,unknown,0.2,4,14193.18,1857
E. C. M Da Costa,unknown,0.2,4,14185.9,1866
T & W Smith,unknown,0.2,9,14123.88,1866
Sieveking Droop & Co,unknown,0.2,4,14112.48,1866
Horstman Co,unknown,0.2,2,14109.4,1914
Rayner & Co,unknown,0.2,7,14037.47,1866
Thomas Russell & Co,unknown,0.2,8,13988.34,1847
Robert Christie & Co,unknown,0.2,6,13986.380000000001,1866
Melhuish Sons & Co,unknown,0.2,1,13972.960000000001,1857
T Prehn & Co,unknown,0.2,1,13949.999999999998,1857
Edward Liddell Manager Of The Sheffield Union Banking Company,unknown,0.2,1,13904.800000000001,1857
I B W Nevill & Co,unknown,0.2,7,13898.029999999999,1857
Bowes Game & Moren,unknown,0.2,4,13891.48,1866
G Matveieff,unknown,0.2,12,13855.414999999999,1847
Nestle Andreae & Co,unknown,0.2,4,13840.2,1866
John Ranking & Co,unknown,0.2,2,13837.5,1857
M Gray & Co,unknown,0.2,1,13800.92,1847
Alison C & Co,unknown,0.2,4,13742.439999999999,1847
Fraser Neilson,unknown,0.2,4,13733.25,1847
Jas Deacon & Sons,unknown,0.2,13,13729.965,1847
The Egyptian Tribute,unknown,0.2,1,13663.839999999998,1866
Hinkpatrick & Belguy,unknown,0.2,2,13604.2,1866
"Bennoch, Twentyman & Rigg",unknown,0.2,4,13591.43,1857
J. H. Rudall & Son,unknown,0.2,5,13551.720000000001,1866
Bhimsey Sewjee & Co,unknown,0.2,4,13545.82,1866
Dienis B & Co,unknown,0.2,1,13440.734999999999,1847
Jt Docoson & Co,unknown,0.2,1,13356.63,1857
Bennock & T,unknown,0.2,6,13351.7525,1847
Browning & Son,unknown,0.2,17,13316.9725,1847
F. Bennoch & Co,unknown,0.2,8,13279.609999999999,1866
Feo Foss & Co,unknown,0.2,3,13230.0,1857
H & E Downs,unknown,0.2,8,13195.8675,1847
Stuart & Sharpe,unknown,0.2,4,13189.97,1847
Draper Pietroni & Co,unknown,0.2,4,13138.0,1857
Richard Thornton,unknown,0.2,15,13111.265,1847
Barker & Co,unknown,0.2,9,13106.82,1847
Geo Johnson & Co,unknown,0.2,25,13104.619999999999,1847
William Leask,unknown,0.2,7,13096.435,1857
Swindell Matthews & Sendall,unknown,0.2,6,13036.56,1866
Richard Little Co,unknown,0.2,1,12986.88,1847
S S Curtis,unknown,0.2,19,12932.8475,1847
J. Gaury & Co,unknown,0.2,4,12817.859999999999,1866
Sanderman F & Co,unknown,0.2,4,12808.35,1847
L Bunn & Co,unknown,0.2,7,12765.605,1857
Pye Field & T,unknown,0.2,6,12745.904999999999,1847
Morgan M & Co,merchant_bank,0.85,15,12743.42,1847
A Hastie,unknown,0.2,1,12690.0,1847
D Coutauld & Co,unknown,0.2,1,12686.24,1847
J Stuart & Son,unknown,0.2,11,12645.77,1847
James Matthews & Co,unknown,0.2,7,12559.71,1866
Jos. Bridgette & Co,unknown,0.2,3,12553.965,1857
James Wiseman,unknown,0.2,6,12552.895,1866
H + E Muggeridge,unknown,0.2,2,12504.24,1857
Price'S Patent Candle Company Limited,unknown,0.2,2,12489.93,1857
Davidson & Peter,unknown,0.2,14,12416.2525,1847
Houghton Burnett & Co,unknown,0.2,9,12408.55,1847
P R Poland & Son,unknown,0.2,5,12397.164999999999,1847
Edward Erolty & Co,unknown,0.2,2,12374.27,1857
Lascaridi & Co,unknown,0.2,6,12359.400000000001,1857
Peter Dickson & Co,unknown,0.2,4,12345.239999999998,1847
Gaschen,unknown,0.2,1,12338.4,1847
Chesnutt Cooper Co,unknown,0.2,4,12332.494999999999,1914
John Feltham & Co,unknown,0.2,5,12205.48,1857
James Spicer & Sons,unknown,0.2,3,12199.08,1866
Charles Hemery,unknown,0.2,5,12107.8,1866
Rhymney Iron & Co,industrial_or_commercial,0.6,2,12067.9,1866
Frith Wallace & Co,merchant_bank,0.85,4,12020.509999999998,1847
Cuadra Romero,unknown,0.2,2,12015.720000000001,1857
J F Fixsen & Co,unknown,0.2,11,11993.38,"1847,1857"
G Brette & Co,unknown,0.2,3,11908.2425,1847
Matthew Bros & B,unknown,0.2,10,11901.815,1847
R Farrand,unknown,0.2,4,11886.137499999999,1847
Melpuish G & Co,unknown,0.2,1,11871.09,1847
James Barber & Co,unknown,0.2,5,11831.7,"1857,1866"
John Anderson & Sons,unknown,0.2,2,11817.6,1857
Morgan Brothers,merchant_bank,0.85,4,11800.345000000001,"1857,1866"
Ebbie Vale Co & Robbinson,unknown,0.2,1,11799.9,1857
Hardcastle & Co.,unknown,0.2,7,11791.01,1866
Ollier & Co,unknown,0.2,5,11782.18,1866
Ovingtons & Co,unknown,0.2,8,11759.715,1847
James Duncan & Co,unknown,0.2,3,11755.82,1866
Raphael & Son,merchant_bank,0.85,1,11729.32,1847
Sellicoe & Wix,unknown,0.2,7,11726.895,1847
Evans Bros,unknown,0.2,20,11718.3775,1847
C J Alambro & Son,unknown,0.2,1,11711.599999999999,1847
Afillem Son Co,unknown,0.2,1,11704.88,1847
Vaughan & Sheldon,unknown,0.2,7,11694.6975,1847
Thomas McGregor,unknown,0.2,10,11665.82,1847
George Lawrence,unknown,0.2,2,11654.1,1857
H H Lindsay,unknown,0.2,9,11629.175000000001,"1847,1857"
Foster & Porter,unknown,0.2,2,11599.15,1866
Crekerell & Co,unknown,0.2,1,11595.699999999999,1847
Fras Ede & Son,unknown,0.2,7,11586.35,1847
Hop Planters Joint Stock Company,unknown,0.2,2,11579.86,1866
Carneille David & Co,unknown,0.2,2,11557.8,1857
Crowe Christian & Co,unknown,0.2,4,11478.4,1857
T P Lloyd & Co,unknown,0.2,7,11477.845,1847
T Shephens & Co,unknown,0.2,10,11462.23,1847
Higgins Eagle & Hutchinson,unknown,0.2,7,11417.45,1866
Howse & Mead,unknown,0.2,9,11409.36,1857
George Cross & Co,unknown,0.2,12,11374.3,1866
M C Calmont Bros & Co,unknown,0.2,1,11362.949999999999,1847
Harrison & Hardcastle,unknown,0.2,5,11336.880000000001,1847
Phillips & Burton,unknown,0.2,7,11323.745,1847
Bailey Pegg & Co,unknown,0.2,6,11321.145,"1847,1857"
W E Franks & Son,unknown,0.2,11,11307.115,1857
D Satow & Co,unknown,0.2,8,11296.845,1847
Rawson Sons & Co,unknown,0.2,3,11287.2,1857
Lloyd & Attree,unknown,0.2,15,11244.220000000001,1866
"Thomas, B L",unknown,0.2,1,11171.9,1847
Frederick Harrison & Co,unknown,0.2,8,11162.5525,1847
H.S.Lefevre,unknown,0.2,1,11156.8,1914
Geo Bretsle & Co,unknown,0.2,2,11142.404999999999,1857
John Tellham & Co,unknown,0.2,4,11139.145,1857
James Coster & Co,unknown,0.2,3,11132.36,1857
London Bank Of Australia,clearing_or_joint_stock_bank,0.4,1,11131.15,1914
Rowson Norton & Co,unknown,0.2,2,11118.76,1847
Paris & Tower,unknown,0.2,2,11106.865000000002,1847
M Salmon B & Co,unknown,0.2,1,11090.119999999999,1847
J F Burrell,unknown,0.2,12,11083.619999999999,1847
A S Petrie & Co,unknown,0.2,4,11011.880000000001,1847
British Honduras Coy Limited,unknown,0.2,2,11000.0,1866
W H Cox & Co,unknown,0.2,2,10938.6,1857
Jas Hill & Sons,unknown,0.2,1,10916.125,1847
J M Waters,unknown,0.2,12,10852.279999999999,1847
D. E. Power,unknown,0.2,10,10848.45,1866
Abet Brothers,unknown,0.2,9,10802.14,1857
J R Thomas & Co,unknown,0.2,1,10800.0,1857
L J Enthovson & Co,unknown,0.2,2,10768.25,1847
A G Da Costa,unknown,0.2,10,10678.6,1857
Allnutts & Arbain,unknown,0.2,11,10650.22,1847
D T Morgan,merchant_bank,0.85,7,10618.02,1857
Siondet Mayer & Co,unknown,0.2,2,10525.119999999999,1857
Jimder Co,unknown,0.2,2,10524.099999999999,1847
Richard Walford & Co,unknown,0.2,3,10480.13,1866
Spicer Bros,unknown,0.2,4,10447.74,1847
Cockin & Seamer,unknown,0.2,10,10443.8275,1847
Truhling & Goschen,merchant_bank,0.85,1,10412.949999999999,1914
Fras Chambers,unknown,0.2,12,10403.28,1847
W N De Mattos,unknown,0.2,7,10400.205,1857
Brown Davis & Co,unknown,0.2,3,10364.619999999999,1866
Gilliat & Co,unknown,0.2,1,10363.48,1847
W B Hutton & Sons,unknown,0.2,6,10357.935,1847
George Goss & Co,unknown,0.2,3,10327.32,1857
Jno Feltham & Co,unknown,0.2,11,10304.64,1847
Clement Dresser,unknown,0.2,8,10290.75,"1857,1866"
John Schwartz,unknown,0.2,15,10232.66,1866
Pollacks Erben,unknown,0.2,2,10195.65,1847
Crewett & Co,unknown,0.2,1,10120.35,1847
Springfield Son & Co,unknown,0.2,2,10093.454999999998,1847
P & C van Notten & Co,unknown,0.2,1,10071.81,1847
E Bernoulli,unknown,0.2,7,10070.84,1847
Boysin Hoyer Tagart,unknown,0.2,1,10000.0,1857
T. D. Henry,unknown,0.2,2,9985.0,1866
Richard Walford,unknown,0.2,9,9983.4525,1847
Richard Hallett & Sons,unknown,0.2,5,9982.045,1847
M L Bensusan & Co,unknown,0.2,12,9960.894999999999,1847
W Venning & Co,unknown,0.2,7,9960.0,1847
Benoliel Brothers,unknown,0.2,4,9955.800000000001,1857
C & W Brunshill,unknown,0.2,7,9947.9525,1847
E. Lloyd & Co,unknown,0.2,5,9915.64,1866
"H. Rogess, Sons & Co",unknown,0.2,1,9914.18,1866
J C Abrams,unknown,0.2,22,9913.97,1847
J Bulk Son & Co,unknown,0.2,1,9900.0,1857
J. Young Ehlers & Co,unknown,0.2,1,9900.0,1866
H. Butler & Son,unknown,0.2,5,9900.0,1866
Gorton & Son,unknown,0.2,7,9891.4,"1857,1866"
Gilmour Rankin Strong & Co,unknown,0.2,3,9890.42,1857
Fishers & Robinson,unknown,0.2,2,9882.18,1857
Cafsovette Co,unknown,0.2,2,9861.84,1847
W C Braddon,unknown,0.2,5,9859.32,1847
Oastler & Palmer,unknown,0.2,2,9853.08,1866
Allen,unknown,0.2,1,9844.619999999999,1847
Fisher King & Co,unknown,0.2,1,9837.25,1914
Laforest & Co,unknown,0.2,12,9796.78,1847
J G Tyrie,unknown,0.2,4,9766.58,1847
James Pin & Co,unknown,0.2,2,9758.7,1866
Christopher Sutherland,unknown,0.2,6,9751.915,1847
J scheider & Co,unknown,0.2,1,9746.859999999999,1847
John Torrance,unknown,0.2,2,9725.0,1866
Shern Bros,unknown,0.2,1,9696.644999999999,1847
Gowen Neph Co,unknown,0.2,1,9691.92,1847
A Joachim,unknown,0.2,3,9689.06,1857
Jas Renshaw & Co,unknown,0.2,7,9684.5325,1847
"Catesworth, P Co",unknown,0.2,1,9681.988800000001,1847
W Bell & Co,unknown,0.2,3,9681.349999999999,1847
Junnes Coster Co,unknown,0.2,1,9609.375,1847
E Lohrab,unknown,0.2,1,9600.0,1847
Puget Bainbridges & Co,unknown,0.2,2,9523.38,"1857,1866"
T H Elinenhurst,unknown,0.2,3,9520.755,1847
C J Mare & Co,unknown,0.2,5,9507.175,1847
Momson D L,unknown,0.2,1,9450.6,1847
W + A Riand & Co,unknown,0.2,1,9450.0,1857
Rrid Jimmy Co,unknown,0.2,1,9434.88,1847
R Eghntin Co,unknown,0.2,1,9403.1,1847
Provincial Bank & Corp Limited,clearing_or_joint_stock_bank,0.4,2,9373.5,1866
The Jone St Marehouse Co Limited,unknown,0.2,1,9305.84,1866
Fenn Kemm & Fenn,unknown,0.2,8,9267.26,1857
GB Nettle & Co,unknown,0.2,1,9251.365,1847
R J Anderson,unknown,0.2,1,9227.35,1847
Pinto Leite & Brothers,unknown,0.2,1,9224.1,1857
R Johnson & Co,unknown,0.2,12,9211.335000000001,"1857,1866"
Hinton Brothers & Co,unknown,0.2,9,9201.145,1857
Geo: Hitchcock W: H & Co,unknown,0.2,2,9200.7,1866
Todd Bros,unknown,0.2,13,9196.279999999999,1847
A. Grant Son & Co,unknown,0.2,2,9144.9,1866
G & I. A. Noble,unknown,0.2,4,9041.25,1866
J Hartley & Co,unknown,0.2,7,9028.755000000001,1857
H Moryssi Bro,unknown,0.2,6,9004.5025,1847
Miles Brother & Co,unknown,0.2,1,9000.0,1866
Crowns Agents For Colonies,unknown,0.2,1,9000.0,1866
F Calvert,unknown,0.2,1,9000.0,1857
Greenwood & Co,unknown,0.2,9,8991.92,"1857,1866"
Alexiadi Delta & Co,unknown,0.2,1,8984.720000000001,1857
H Hewetson,unknown,0.2,6,8981.225,1847
"Sanderson Frys, Rigge & Co",bill_broker,0.85,3,8969.9,1866
J Maurenbrecker Co,unknown,0.2,4,8957.59,1847
Ja Bull Sons Co,unknown,0.2,1,8956.71,1857
H & E Muggeridge,unknown,0.2,10,8932.02,1847
Sambourne & Bell,unknown,0.2,12,8931.105,1847
Fincham Matson Potts & Co,unknown,0.2,3,8899.779999999999,1857
J Collinson,unknown,0.2,9,8872.11,1857
Northumberland & Durham Coal Co,unknown,0.2,8,8870.55,1857
I & E Corderoy & Co,unknown,0.2,2,8836.2,1866
Sims Willyams Nevill & Co,unknown,0.2,1,8807.4,1857
G. Hitchcock Williams & Co,unknown,0.2,2,8791.2,1866
Elder Stevens & Co,unknown,0.2,6,8775.779999999999,1866
Walford Tainen & Co,unknown,0.2,3,8773.335,1857
J Butt Son & Co,unknown,0.2,1,8753.535,1857
I. W. Cater Sons & Co,unknown,0.2,1,8750.46,1866
Reed Groery Co,unknown,0.2,1,8750.449999999999,1847
M J Soares,unknown,0.2,7,8732.48,1847
Barclay & Friend,clearing_or_joint_stock_bank,0.7,8,8721.17,1847
P Mordon & Co,unknown,0.2,5,8704.21,1866
Hugh Jones & Co,unknown,0.2,11,8699.4,1866
H+J Johnston & Co,unknown,0.2,1,8677.44,1847
Welch Margeston & Co,unknown,0.2,2,8675.2,1866
Clydesdale Bank Ltd,clearing_or_joint_stock_bank,0.7,2,8669.699999999999,1914
Spalding & Hodges,unknown,0.2,8,8668.4475,1857
W. E. Franks & Son,unknown,0.2,8,8667.44,1866
Elligan & Co,unknown,0.2,1,8648.64,1847
Lester & Buskin,unknown,0.2,6,8648.275,1857
Henry Powell & Sons,unknown,0.2,2,8641.365,1857
Samuel Gibson,unknown,0.2,5,8614.75,1866
David Taylor & Sons,unknown,0.2,4,8614.24,1866
C Fauntleroy,unknown,0.2,25,8611.555,1857
T & N Kind,unknown,0.2,1,8602.5,1847
J & H Taylor,unknown,0.2,2,8593.98,1847
Jas Duke,unknown,0.2,4,8567.32,1847
C. Candy & Co,unknown,0.2,2,8487.9,1866
John Young Ehlers & Co,unknown,0.2,1,8460.0,1866
Aug: Wehmer,unknown,0.2,11,8428.5,1866
Robert Bentley & Sons,unknown,0.2,2,8404.68,"1857,1866"
A Alexander & Co,unknown,0.2,1,8392.32,1847
Price'S Patent Candle Co Limited,unknown,0.2,3,8352.98,1866
Charleton & Watson,unknown,0.2,5,8348.52,1847
Esdaile & Co,unknown,0.2,8,8331.64,1866
Bedwell Yates & Co,unknown,0.2,8,8317.51,1847
Elvian & Co,unknown,0.2,1,8275.6725,1847
Wilson Swale & Co,unknown,0.2,6,8265.0,1866
Unity Mutual Bank,clearing_or_joint_stock_bank,0.4,1,8253.7,1857
Josh Dodson,unknown,0.2,9,8230.345000000001,1847
D Dodree & Son,unknown,0.2,1,8230.005,1847
D W Wetton & Co,unknown,0.2,6,8225.375,1847
H Rogers Sons & Co,unknown,0.2,1,8175.6,1857
J & I Batten & Co,unknown,0.2,3,8166.72125,1914
Keith Shoobridge & Co,unknown,0.2,11,8103.969999999999,1847
Lanthe Buhnell,unknown,0.2,1,8064.900000000001,1866
J Stephens & Co,unknown,0.2,6,8058.17,1847
"B Smith, Duke",unknown,0.2,5,8046.175,1847
Hood & Ward,unknown,0.2,9,8022.575,1857
Peek Brothers & Co,unknown,0.2,4,8010.000000000001,1866
Dudgeon & Co,unknown,0.2,3,8007.0,"1847,1857"
Pims Willyarm & Co,unknown,0.2,1,8001.28,1847
James Norris,unknown,0.2,6,7992.5175,1857
J Lackerstein & Sons,unknown,0.2,6,7987.55,1847
W.Ladenburg & Co,unknown,0.2,2,7896.4,1914
Bischoff & Sons,unknown,0.2,3,7891.004999999999,1847
Skeen & Leary,unknown,0.2,3,7879.755,1847
A. S. Petrie & Co,unknown,0.2,2,7877.300000000001,"1857,1866"
W Kendle,unknown,0.2,15,7874.139999999999,"1847,1857"
Edwards Matthie,unknown,0.2,3,7871.945,1857
W. Muggeridge & Co,unknown,0.2,3,7850.66,1866
Chs Coles & Son,unknown,0.2,3,7840.179999999999,1847
C & B Hooper,unknown,0.2,16,7829.015,1847
Colchester & Neph,unknown,0.2,16,7824.8825,1847
H Lohnotamm,unknown,0.2,1,7821.349999999999,1914
T.O. Stock & Co,unknown,0.2,3,7800.0,1866
Thos Walker,unknown,0.2,6,7750.8,1857
Taster Oortens & Co,unknown,0.2,1,7731.044999999999,1857
Sheyer Bros,unknown,0.2,1,7708.299999999999,1914
"Jacomb, Hogg & Co",unknown,0.2,2,7701.360000000001,1866
Jos Stuart & Son,unknown,0.2,5,7694.9800000000005,1847
H. Clarkson & Co,unknown,0.2,8,7667.459999999999,1866
Z Harris & Sons,unknown,0.2,7,7657.475,1847
C Tottie & Son,unknown,0.2,3,7657.28,1847
W & H Brand & Co,unknown,0.2,5,7638.16,1857
F Castelli,unknown,0.2,8,7628.78,1857
Apactali & Co,unknown,0.2,1,7628.16,1847
W Mc Andrew & Sons,unknown,0.2,2,7619.66,1857
I. Ciw Thaw & Co,unknown,0.2,1,7612.2,1857
A D J Blynt & Co,unknown,0.2,1,7600.0,1847
Barry & Hayward,unknown,0.2,13,7593.2625,1847
W McAndrew Sons,unknown,0.2,4,7588.5575,1847
J & T Hepburn,unknown,0.2,9,7556.3150000000005,1847
Moese Bros,unknown,0.2,4,7530.525,1847
C Henry,unknown,0.2,9,7528.14,1857
C Leary & Co,unknown,0.2,2,7450.2,1857
Thompson & Forman,unknown,0.2,1,7441.349999999999,1847
Poutus Kleman,unknown,0.2,2,7440.0,1866
H Butler & Son,unknown,0.2,1,7428.839999999999,1857
Frangopulo Agelasto Co,unknown,0.2,1,7426.0,1866
Horne & Watney,unknown,0.2,3,7420.855,1857
Josh Jackson S & Co,unknown,0.2,8,7416.0125,1847
Rio & Co,unknown,0.2,1,7391.0,1847
J. G. Homere,unknown,0.2,1,7380.900000000001,1866
J R & N Browning & Co,unknown,0.2,4,7368.535,1847
Unity Joint,unknown,0.2,1,7367.360000000001,1857
M J de Lizardi,unknown,0.2,3,7364.94,1847
Thomas Lowndes & Co,unknown,0.2,5,7360.21,1857
Joseph Jackson,unknown,0.2,4,7350.0,"1847,1857"
Cash + Ledgard,unknown,0.2,4,7349.5025000000005,1857
Simon & Carey,unknown,0.2,3,7330.5,1857
Bernard Elliot,unknown,0.2,1,7330.2,1914
Judah Hard & Co,unknown,0.2,2,7284.45,1866
J Carter & Co,unknown,0.2,2,7272.09,1857
W Leschallas,unknown,0.2,7,7256.9025,1847
Coutts & Co,unknown,0.2,1,7247.549999999999,1914
Bery Lawrence,unknown,0.2,5,7230.959999999999,1847
Baker & Co,unknown,0.2,1,7225.2,1857
Da Costa & Kiell,unknown,0.2,2,7200.0,1866
Rutherford Drury & Co,unknown,0.2,9,7185.75,1866
Novelli & Co,unknown,0.2,3,7181.639999999999,1866
Wilson Leward & Swale,unknown,0.2,2,7180.0,1857
Laurie Hamilton & Co,unknown,0.2,5,7167.805,1847
Puito Perry & Co,unknown,0.2,6,7155.0,1857
Phirias Abraham,unknown,0.2,3,7141.5,1857
Fras Rebello,unknown,0.2,7,7126.82,1847
R Evans & Co,unknown,0.2,4,7074.33,1857
Fledstones & Co,unknown,0.2,1,7060.094999999999,1847
Truman Hitchcock & Co,unknown,0.2,1,7045.299999999999,1866
Thomas Stephen & Co,unknown,0.2,1,7021.8,1866
T Ralli Sons & Co,unknown,0.2,1,7015.5,1857
T. & D. Henry,unknown,0.2,2,7009.33,1857
Jas Bischoff & Sons,unknown,0.2,5,6970.5225,1847
Jno Mair,unknown,0.2,5,6961.463400000001,1847
"Wilson, Rose, Graham & Co",unknown,0.2,6,6958.89,1857
F Ede Son & Noyes,unknown,0.2,7,6952.32,1866
Sevidet Mayer & Co,unknown,0.2,3,6937.424999999999,1857
Page & Welch,unknown,0.2,2,6909.94,1866
Callmann & Son,unknown,0.2,2,6902.419999999999,1847
J. Hubbard & Co,unknown,0.2,1,6900.0,1866
Thomas Kettlewell,unknown,0.2,5,6885.5599999999995,1847
Sam & Sadler & Co,unknown,0.2,4,6856.23,1847
H Woodfull,unknown,0.2,36,6845.54,1847
Priget & Co,unknown,0.2,1,6843.84,1847
Rob Brooks,unknown,0.2,3,6829.94,1847
Rowley & Davies,unknown,0.2,3,6817.84,1866
Thomas Urwick Son & D,unknown,0.2,7,6809.764999999999,1847
Jellicoe & Wix,unknown,0.2,4,6790.7699999999995,"1847,1857"
G Houghton & Sons,unknown,0.2,16,6784.1849999999995,1847
Tamvaco M & M,unknown,0.2,2,6778.02,1847
I T W Noakes,unknown,0.2,2,6773.84,1857
Ross & Ash,unknown,0.2,2,6750.0,1866
Gabain & Co,unknown,0.2,4,6748.1,1847
Palmer & Co,unknown,0.2,6,6738.37,1857
Richards L & Co,unknown,0.2,1,6735.5,1847
James Shears & Sons,unknown,0.2,5,6734.42,1857
Bence B & Co,unknown,0.2,1,6734.16,1847
Wilson & Bellenger,unknown,0.2,4,6729.38,1866
Unity St Something,unknown,0.2,1,6702.59,1857
J Rult Sons Co,unknown,0.2,1,6672.76,1847
Allen Solly & Co,unknown,0.2,4,6651.42,1866
Henry Joachim,unknown,0.2,4,6644.9,1857
Saml.Barrow & Bro Ld,unknown,0.2,1,6627.2,1914
C C Williams,unknown,0.2,4,6615.0,1857
Randon H Co,unknown,0.2,1,6580.0,1847
Browning Wood & Fox,unknown,0.2,7,6577.52,"1857,1866"
N Milcalfe,unknown,0.2,3,6573.86,1847
W & J Woodley,unknown,0.2,2,6529.005,1847
H P Rouquette & Co,unknown,0.2,3,6517.9,1857
Prier P Candle & Co,unknown,0.2,2,6490.32,1857
E & A Prior,unknown,0.2,9,6475.889999999999,1857
Colonial Land,foreign_or_colonial_financial,0.7,2,6460.0,1847
W. Morhimore,unknown,0.2,8,6445.53,1866
H E + M Moses,unknown,0.2,1,6440.0,1857
Borrowman Phillipps & Co,unknown,0.2,5,6435.96,1866
J Jacobson,unknown,0.2,18,6430.405,1847
"Caldecott, Sons & Willcocks",unknown,0.2,1,6400.8,1866
S Dobree & Sons,unknown,0.2,1,6388.8,1847
Jas Stuart & Sons,unknown,0.2,4,6387.235000000001,1847
Swayne & Bovill,unknown,0.2,7,6359.955,1847
J & W J Courtenay,unknown,0.2,4,6350.74,1857
Clode & Baker,unknown,0.2,2,6336.38,1866
I. & B. Pearse & Co,unknown,0.2,3,6290.0,1857
Edward & Megan Co,unknown,0.2,1,6288.675,1847
Stera Bros,unknown,0.2,1,6258.6,1857
D Harris & Sons,unknown,0.2,6,6240.2575,1847
Hartman & Mallet,unknown,0.2,3,6218.32,1866
Samuel Sadler,unknown,0.2,4,6211.56,"1857,1866"
Thomas Stephens & Co,unknown,0.2,2,6210.4,1866
Wn De Hacelles,unknown,0.2,2,6151.8150000000005,1857
Richard Evans & Co,unknown,0.2,4,6149.84,1866
Nelson & Lancaster,unknown,0.2,2,6142.514999999999,1847
Poppleton Gibs & Co,unknown,0.2,2,6122.18,1914
Henderson & Constable,unknown,0.2,4,6066.825,1857
"Dae La Rue Thomas, & Co",unknown,0.2,3,6051.755,1857
Luckensteen Son & Co,unknown,0.2,1,6045.0,1847
Young Harrison & Bevan,unknown,0.2,3,6039.365,"1857,1866"
Famraes M Co,unknown,0.2,1,6033.839999999999,1847
Josh Holl & Co,unknown,0.2,13,6031.335,1847
Matthew Parker & Co,unknown,0.2,1,6028.7,1847
Inglis & Wakefield,unknown,0.2,2,6023.54,1866
Mortoy S Co,unknown,0.2,1,6017.099999999999,1847
John Dickensgill & Son,unknown,0.2,1,6003.92,1857
Lydle Bros Co,unknown,0.2,1,6000.83,1847
Gladstone Ewart & Co,unknown,0.2,3,5985.9,1866
J Wreford & Co,unknown,0.2,3,5984.2325,1847
Tw Bradley & Co,unknown,0.2,5,5983.73,1857
Smith & Lister,unknown,0.2,2,5980.700000000001,1866
Rob Chuter,unknown,0.2,5,5977.085,1847
"Mac Intyre, Buchanan & Co",unknown,0.2,5,5942.36,1866
Laurence Phillips & Sons,unknown,0.2,3,5916.115,1847
Lom Bunudti Soms & Co,unknown,0.2,1,5906.429999999999,1866
De Jersey & Co,unknown,0.2,1,5905.2,1914
Pomsford Southall & Co,unknown,0.2,3,5886.959999999999,1866
Grissell Brothers & Co,unknown,0.2,4,5885.0,1857
J Littlewood & Co,unknown,0.2,8,5881.96,1847
J. H. Rudall,unknown,0.2,4,5875.715,1857
Morley Nephew & Co,unknown,0.2,1,5852.21,1857
Craster Humble & Son,unknown,0.2,3,5836.4175,1847
J T Harris,unknown,0.2,1,5819.0,1847
C Joyce,unknown,0.2,5,5797.705,1847
W Vaughan & Co,unknown,0.2,2,5791.4400000000005,1857
Clay & Gillman,unknown,0.2,5,5772.93,1847
Fecan Kerrison & Flanne,unknown,0.2,7,5768.005,1857
Tamvaco Michrulachi,unknown,0.2,1,5762.28,1857
Stone & Gunter,unknown,0.2,11,5759.26,1847
Somervell & Co,unknown,0.2,7,5758.27,1866
I. W. Cripps,unknown,0.2,3,5757.94,1866
Clairmonte Brothers,unknown,0.2,5,5751.975,1857
Morlet + Horne,unknown,0.2,3,5746.995,1857
Kingsford & Lay,unknown,0.2,2,5735.29,1847
Robert Campbell,unknown,0.2,1,5700.320000000001,1866
Coventry & Son,unknown,0.2,3,5692.099999999999,1847
Forman & Hadow,unknown,0.2,5,5689.0,1847
T. I. & T. Powell,unknown,0.2,9,5682.9,1914
Castelli Brothers,unknown,0.2,2,5669.1,1866
Jonules & Co,unknown,0.2,1,5622.719999999999,1847
J. Tenny Clarke & Co,unknown,0.2,1,5620.259999999999,1866
H Cayley & Co,unknown,0.2,4,5615.0,1847
W. Halford & Co,unknown,0.2,2,5605.0,1914
W Oswald,unknown,0.2,5,5579.66,1847
Anderson & Cattley,unknown,0.2,3,5567.2275,1847
D A Scanavi,unknown,0.2,2,5476.75,1847
Tamvaco Utell,unknown,0.2,1,5472.900000000001,1857
J C White,unknown,0.2,4,5467.17,1847
Mangles Brothers,unknown,0.2,3,5458.05,1857
Pusch & Co,unknown,0.2,1,5451.285,1847
