counterparty_clean,canonical_counterparty,match_method,similarity_score,manual_review_required,cluster_id
Bell & Grant,Bell & Grant,exact,100,False,113
Bennison & Lennard,Bennison & Lennard,exact,100,False,114
Bennison Lermard,Bennison Lermard,exact,100,False,115
"Bennoch, Twentyman & Rigg","Bennoch, Twentyman & Rigg",exact,100,False,116
Benoliel Brothers,Benoliel Brothers,exact,100,False,117
Beo Befand Del Rio Co,Beo Befand Del Rio Co,exact,100,False,118
Bernard Elliot,Bernard Elliot,exact,100,False,119
Beverington Norris,Beverington Norris,exact,100,False,120
Bevington & Morris,Bevington & Morris,exact,100,False,121
Bevingtons & Sons,Bevingtons & Sons,exact,100,False,122
Bheonutt Booper & Co,Bheonutt Booper & Co,exact,100,False,123
Bhimsey Sewjee & Co,Bhimsey Sewjee & Co,exact,100,False,124
Bicken & Co,Bicken & Co,exact,100,False,125
Bidgood Jones & Wilson,"Bidgood, Jones & Wilson",rapidfuzz_token_set_ratio,100,False,126
"Bidgood, Jones & Wilson","Bidgood, Jones & Wilson",exact,100,False,126
Bidgorddons & Co,Bidgorddons & Co,exact,100,False,127
Bieber & Co,Bieber & Co.,rapidfuzz_token_set_ratio,100,False,128
Bieber & Co.,Bieber & Co.,exact,100,False,128
Bier & Partner,Bier & Partner,exact,100,False,129
Bischoffsheim & Goldschmidt,Bischoffsheim & Goldschmidt,exact,100,False,130
Bl Leman,Bl Leman,exact,100,False,131
Blogg & Martin,Blogg & Martin,exact,100,False,132
Blogg + Martin,Blogg & Martin,rapidfuzz_token_set_ratio,100,False,132
Blogg Vellantini,Blogg Vellantini,exact,100,False,133
Blyth Greene Jourdain Co Ld,Blyth Greene Jourdain Co Ld,exact,100,False,134
Bomanjee Framjee Cama & Co,Bomanjee Framjee Cama & Co,exact,100,False,135
Bordier Fabris & Co,Bordier Fabris & Co,exact,100,False,136
Borneo Co Ltd,Borneo Co Ltd,exact,100,False,137
Borrowman Phillipps & Co,Borrowman Phillipps & Co,exact,100,False,138
Boutcher Mortimore & Co,Boutcher Mortimore & Co,exact,100,False,139
Bowes Co Ltd,Bowes Game & Moren,rapidfuzz_token_set_ratio,100,False,140
Bowes Game & Moren,Bowes Game & Moren,exact,100,False,140
Boysin Hoyer Tagart,Boysin Hoyer Tagart,exact,100,False,141
Bradbury & Cook,Bradbury & Cook,exact,100,False,142
Bradbury Greatorex & Co,Bradbury Greatorex & Co,exact,100,False,143
Bridgewater Jones & Co,Bridgewater Jones & Co,exact,100,False,144
Brien & Parker,Brien & Parker,exact,100,False,145
Brightwen & Co,Brightwen Gillet & Co,rapidfuzz_token_set_ratio,100,False,146
Brightwen Gillet & Co,Brightwen Gillet & Co,exact,100,False,146
British Bank Of Foreign Trade Ltd,British Bank Of Foreign Trade Ltd,exact,100,False,147
British Bank Of North America Ltd,British Bank Of North America Ltd,exact,100,False,148
British Bank Of South America Ltd,British Bank Of North America Ltd,rapidfuzz_token_set_ratio,93,False,148
British Honduras Coy Limited,British Honduras Coy Limited,exact,100,False,149
Britsh Linen Bank,Britsh Linen Bank,exact,100,False,150
Broadwood & Barclay,Broadwood & Barclay,exact,100,False,151
Brockelbank & Rolt,Brockelbank & Rolt,exact,100,False,152
Brown & Laws,Brown & Laws,exact,100,False,153
Brown Davis & Co,Brown Davis & Co,exact,100,False,154
Brown Shipley & Co,Brown Shipley & Co,exact,100,False,155
Browning Wood & Fox,Browning Wood & Fox,exact,100,False,156
Bruce Wilkinson & Co,Bruce Wilkinson & Co,exact,100,False,157
Buckler Woolbright,Buckler Woolbright,exact,100,False,158
Bucknell & Sons,Bucknell & Sons,exact,100,False,159
Burr Brother & Co,Burr Brother & Co,exact,100,False,160
